tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
6.08,248.52,18.52,405.0,10.0,14.3408,25.0,1.0,113.506,1.55093e-06,149.124,-30.8758,115.72,1.56092e-06,144.523,-35.2338,119.428,1.55125e-06,149.106,-30.8599,119.693,1.55109e-06,149.151,-30.8812,122.374,1.55125e-06,149.104,-30.858,126.455,1.55094e-06,148.966,-30.6141,127.1,1.55108e-06,149.154,-30.8826,129.004,1.55109e-06,149.156,-30.882,129.77,1.55148e-06,149.132,-30.8915,130.095,1.55112e-06,149.121,-30.8769,130.39,1.55147e-06,149.126,-30.8787,132.433,1.55108e-06,149.149,-30.8811,134.196,1.5618e-06,146.181,-36.2387,134.581,1.55147e-06,149.124,-30.8761,138.996,1.55112e-06,149.117,-30.8759,139.163,1.55126e-06,149.109,-30.8614,140.539,1.56105e-06,145.829,-35.7472,140.95,1.55325e-06,153.055,-33.3673,141.368,1.56117e-06,143.458,-34.2468,143.845,1.56117e-06,145.492,-36.6285,144.066,1.58099e-06,139.855,-38.5602,144.071,1.55404e-06,152.742,-34.504,144.396,1.56262e-06,146.578,-38.5602,146.108,1.55282e-06,153.49,-32.7019,146.766,1.55215e-06,149.112,-30.8034
6.08,248.52,18.52,375.0,15.0,14.3075,25.0,1.0,112.957,1.45693e-06,147.667,-32.3331,114.295,1.45746e-06,147.685,-32.3629,120.074,1.45727e-06,147.648,-32.3179,120.547,1.51657e-06,-24.5794,-32.1774,121.224,1.45731e-06,147.656,-32.3219,122.514,1.45727e-06,147.646,-32.3161,123.676,1.45922e-06,147.666,-32.3341,124.488,1.45746e-06,147.688,-32.3691,126.719,1.5169e-06,-24.5606,-32.1613,127.858,1.45922e-06,147.665,-32.3325,127.877,1.51694e-06,-24.5689,-32.1658,129.77,1.5169e-06,-24.5591,-32.1597,131.181,1.45727e-06,147.649,-32.3187,131.213,1.45922e-06,147.664,-32.3207,133.325,1.5171e-06,-24.6004,-32.2162,135.135,1.45727e-06,147.65,-32.3192,135.906,1.5181e-06,-24.5431,-32.0959,136.171,1.51884e-06,-24.5778,-32.1782,136.255,1.45921e-06,147.653,-32.2795,137.11,1.5169e-06,-24.5617,-32.1619,139.594,1.45737e-06,146.515,-30.6141,140.23,1.51884e-06,-24.5775,-32.1695,141.982,1.45747e-06,147.659,-32.3187,142.774,1.5181e-06,-24.5345,-32.0763,143.25,1.45786e-06,147.05,-29.5907
6.08,248.52,18.52,400.0,15.0,14.3446,25.0,1.0,113.376,1.52806e-06,149.34,-30.6599,118.977,1.52823e-06,149.372,-30.6656,120.536,1.52807e-06,149.312,-30.6141,121.873,1.52823e-06,149.373,-30.6659,127.09,1.52822e-06,149.371,-30.6664,129.402,1.52861e-06,149.349,-30.676,130.123,1.52861e-06,149.342,-30.6637,132.17,1.52822e-06,149.367,-30.6652,134.201,1.52823e-06,149.38,-30.6667,134.381,1.5286e-06,149.34,-30.6604,137.259,1.53868e-06,146.729,-36.2387,139.171,1.53051e-06,154.474,-32.7019,139.666,1.53086e-06,153.777,-33.3673,140.918,1.53104e-06,153.773,-33.3673,142.889,1.53064e-06,154.118,-32.9681,143.568,1.5379e-06,146.426,-35.7472,143.571,1.5316e-06,153.287,-34.504,144.658,1.53952e-06,146.832,-38.5602,144.841,1.53799e-06,145.749,-36.6285,146.223,1.53816e-06,145.748,-36.6285,146.785,1.52928e-06,149.341,-30.6668,146.85,1.53901e-06,146.303,-38.5602,148.114,1.53991e-06,140.518,-32.9681,148.151,1.53456e-06,152.859,-38.5602,148.175,1.53957e-06,146.304,-38.5602
6.08,248.52,18.52,365.0,20.0,14.3092,25.0,1.0,112.73,1.41982e-06,147.516,-32.4844,120.443,1.42016e-06,147.496,-32.4698,120.762,1.55385e-06,-24.6271,-32.1297,121.633,1.4202e-06,147.504,-32.4735,122.409,1.42016e-06,147.494,-32.4678,123.291,1.42035e-06,147.536,-32.5182,126.388,1.55418e-06,-24.6086,-32.1131,127.081,1.42211e-06,147.514,-32.4826,127.56,1.55422e-06,-24.6168,-32.1179,129.733,1.55418e-06,-24.6073,-32.1116,129.959,1.42211e-06,147.511,-32.4687,132.069,1.42016e-06,147.497,-32.4707,133.536,1.42016e-06,147.498,-32.4707,134.156,1.55438e-06,-24.6479,-32.1699,136.192,1.42211e-06,147.499,-32.4256,136.359,1.55538e-06,-24.5924,-32.0491,136.374,1.55418e-06,-24.6096,-32.1136,136.774,1.55612e-06,-24.6256,-32.1313,140.046,1.42035e-06,146.207,-30.6141,141.173,1.55612e-06,-24.6258,-32.1243,141.332,1.42036e-06,147.507,-32.4701,142.942,1.55538e-06,-24.5844,-32.0299,143.179,1.42079e-06,146.869,-29.6874,143.358,1.42101e-06,147.042,-29.6821,143.426,1.42107e-06,147.065,-29.8542
6.08,248.52,18.52,370.0,20.0,14.359,25.0,1.0,112.817,1.43392e-06,147.874,-32.1264,114.173,1.43446e-06,147.892,-32.1564,120.544,1.43426e-06,147.854,-32.1117,120.687,1.5387e-06,-24.886,-31.8708,121.667,1.4343e-06,147.862,-32.1153,122.488,1.43426e-06,147.852,-32.1096,124.142,1.43446e-06,147.895,-32.1621,126.767,1.53903e-06,-24.8673,-31.8546,127.565,1.43548e-06,147.833,-32.0422,127.879,1.53907e-06,-24.8755,-31.8591,129.832,1.53903e-06,-24.8659,-31.8529,132.279,1.43426e-06,147.856,-32.1126,134.034,1.43426e-06,147.856,-32.1125,134.156,1.53924e-06,-24.907,-31.9114,135.155,1.43547e-06,147.823,-32.0216,136.287,1.54023e-06,-24.8507,-31.7896,136.612,1.54098e-06,-24.8841,-31.8725,137.194,1.53903e-06,-24.8684,-31.8551,138.538,1.43427e-06,146.833,-30.6141,138.607,1.54022e-06,-24.854,-31.7998,141.299,1.54098e-06,-24.8845,-31.8648,141.502,1.43447e-06,147.865,-32.1118,142.628,1.54022e-06,-24.8553,-31.8028,142.879,1.54023e-06,-24.8428,-31.7705,144.861,1.53893e-06,-24.116,-30.6141
6.08,248.52,18.52,375.0,20.0,14.4187,25.0,1.0,112.903,1.44808e-06,148.225,-31.7753,114.265,1.44862e-06,148.243,-31.8055,115.872,1.45056e-06,148.198,-31.7603,120.611,1.52358e-06,-25.15,-31.6068,120.684,1.44842e-06,148.205,-31.7606,121.744,1.44846e-06,148.213,-31.7641,122.574,1.44841e-06,148.203,-31.7585,123.639,2.14949e-06,154.971,-31.7269,124.902,1.44862e-06,148.246,-31.8128,127.224,1.52391e-06,-25.1313,-31.5909,128.248,1.52395e-06,-25.1394,-31.5951,129.933,1.52391e-06,-25.1296,-31.5891,131.89,1.45096e-06,148.032,-30.6879,132.118,1.45096e-06,148.058,-30.8464,132.582,1.44842e-06,148.207,-31.7614,133.075,1.45096e-06,148.054,-30.8467,133.997,1.45096e-06,148.027,-30.6547,134.112,1.52412e-06,-25.1711,-31.6477,134.413,1.44842e-06,148.207,-31.7613,136.645,1.44828e-06,147.438,-30.6141,141.641,1.44862e-06,148.216,-31.7604,141.729,1.52412e-06,-25.1505,-31.6076,142.526,1.46066e-06,141.111,-35.7472,142.611,1.48519e-06,138.208,-41.5368,144.557,1.46105e-06,142.173,-36.2387
6.08,248.52,18.52,380.0,20.0,14.3656,25.0,1.0,112.989,1.46229e-06,148.569,-31.4311,114.343,1.46283e-06,148.587,-31.461,114.769,1.46283e-06,148.58,-31.4504,115.917,1.46472e-06,148.542,-31.4164,120.358,1.46262e-06,148.55,-31.4163,121.329,1.46266e-06,148.558,-31.4197,122.502,1.46262e-06,148.548,-31.4141,125.591,1.46245e-06,148.6,-31.4355,129.075,1.46283e-06,148.578,-31.4476,129.866,1.46283e-06,148.571,-31.4347,130.958,1.46245e-06,148.603,-31.436,132.044,1.46262e-06,148.551,-31.4169,133.974,1.46283e-06,148.57,-31.4323,134.086,1.46239e-06,148.025,-30.6141,135.345,1.46246e-06,148.609,-31.4366,135.569,1.46262e-06,148.552,-31.4171,136.92,1.4738e-06,142.773,-35.7472,138.448,1.47435e-06,143.59,-36.2387,138.598,1.4663e-06,148.432,-31.1102,140.644,1.46383e-06,152.156,-33.3673,142.337,1.46245e-06,148.619,-31.4383,143.459,1.46466e-06,152.031,-34.504,145.765,1.46273e-06,148.581,-31.4459,146.025,1.47466e-06,141.626,-34.2468,147.199,1.4662e-06,148.651,-31.5304
6.08,248.52,18.52,390.0,20.0,14.2976,25.0,1.0,113.159,1.49086e-06,149.238,-30.7623,119.307,1.49103e-06,149.275,-30.7681,119.848,1.49118e-06,149.218,-30.7473,121.958,1.50134e-06,144.618,-35.3142,123.329,1.49086e-06,149.142,-30.6141,123.575,1.49103e-06,149.276,-30.7681,125.651,1.49107e-06,149.186,-30.7588,126.616,1.49102e-06,149.269,-30.768,127.778,1.49107e-06,149.19,-30.759,129.105,1.4914e-06,149.247,-30.7785,129.868,1.4914e-06,149.24,-30.7663,131.542,1.49102e-06,149.268,-30.7673,133.343,1.50165e-06,146.163,-36.2387,134.114,1.4914e-06,149.238,-30.763,137.953,1.49321e-06,154.571,-32.7019,138.817,1.49103e-06,149.287,-30.7695,139.224,1.49356e-06,153.801,-33.3673,139.262,1.5009e-06,145.754,-35.7472,141.281,1.50096e-06,143.593,-34.504,142.09,1.49334e-06,154.173,-32.9681,143.14,1.50103e-06,145.439,-36.6285,143.247,1.4943e-06,153.28,-34.504,144.001,1.50247e-06,146.593,-38.5602,144.029,1.50127e-06,145.442,-36.6285,146.495,1.49207e-06,149.233,-30.7351
6.08,248.52,18.52,365.0,25.0,14.3798,25.0,1.0,112.675,1.41093e-06,148.087,-31.9129,114.046,1.41147e-06,148.106,-31.943,120.885,1.41127e-06,148.067,-31.8988,121.983,1.41131e-06,148.076,-31.9019,122.386,1.41127e-06,148.065,-31.8965,123.946,1.41147e-06,148.108,-31.9486,129.817,1.5612e-06,-25.1539,-31.5544,132.921,1.41127e-06,148.069,-31.8991,133.335,1.41127e-06,148.069,-31.8997,134.778,1.41171e-06,146.923,-31.8924,135.148,1.56141e-06,-25.1947,-31.6149,137.303,1.41119e-06,147.168,-30.6141,137.955,1.56141e-06,-25.1744,-31.574,141.089,1.41148e-06,148.079,-31.8982,143.128,1.41116e-06,148.094,-31.9151,144.463,1.41138e-06,148.1,-31.9273,144.781,1.42432e-06,139.647,-35.7472,147.405,1.42453e-06,141.027,-36.2387,150.404,1.56141e-06,-25.1587,-31.5432,151.226,1.41353e-06,148.138,-32.3863,152.242,1.42921e-06,139.005,-30.6141,152.445,1.41119e-06,148.112,-31.9243,152.59,1.41115e-06,148.104,-31.9177,152.703,1.41373e-06,148.246,-33.4863,152.709,1.41367e-06,148.26,-33.5767
6.08,248.52,18.52,375.0,25.0,14.4894,25.0,1.0,112.85,1.43936e-06,148.789,-31.2107,114.12,1.45099e-06,144.884,-36.5238,121.118,1.4397e-06,148.77,-31.1966,122.087,1.43974e-06,148.778,-31.1995,122.552,1.4397e-06,148.767,-31.1941,123.48,1.45099e-06,144.953,-36.6285,123.973,1.43956e-06,148.817,-31.2144,128.51,1.43991e-06,148.799,-31.2285,129.532,1.43991e-06,148.792,-31.2163,130.057,1.43956e-06,148.83,-31.2159,131.63,1.43941e-06,148.381,-30.6141,132.419,1.43956e-06,148.846,-31.2179,133.016,1.45044e-06,143.315,-35.7472,133.736,1.43991e-06,148.79,-31.2125,133.892,1.4397e-06,148.772,-31.1966,134.464,1.45104e-06,144.107,-36.2387,136.755,1.43957e-06,148.84,-31.2168,139.817,1.44134e-06,152.968,-33.3673,143.111,1.44213e-06,152.626,-34.504,144.149,1.4396e-06,148.796,-31.2129,144.441,1.4409e-06,153.508,-32.7019,145.33,1.45123e-06,141.869,-34.2468,145.8,1.44064e-06,148.724,-30.9351,146.011,1.44058e-06,148.761,-31.0495,147.39,1.45094e-06,142.358,-34.504
