tx_x,tx_y,rx_x,rx_y,tx_z,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
6.08,248.52,405.0,10.0,18.52,14.3408,25.0,1.0,110.937,1.55093e-06,149.124,-30.8758,112.811,1.56092e-06,144.523,-35.2338,122.983,1.55094e-06,148.966,-30.6141,130.422,1.5618e-06,146.181,-36.2387,136.259,1.56105e-06,145.829,-35.7472,137.131,1.55325e-06,153.055,-33.3673,137.34,1.56117e-06,143.458,-34.2468,139.626,1.56117e-06,145.492,-36.6285,140.252,1.55404e-06,152.742,-34.504,140.966,1.56262e-06,146.578,-38.5602,142.265,1.58099e-06,139.855,-38.5602,142.292,1.55282e-06,153.49,-32.7019,142.948,1.55215e-06,149.112,-30.8034,144.773,1.55704e-06,152.476,-38.5602,144.777,1.55298e-06,153.269,-32.9681,145.39,1.5634e-06,140.274,-32.9681,147.286,1.56464e-06,138.737,-32.7019,148.882,1.58192e-06,138.581,-36.6285,149.173,1.56227e-06,141.798,-33.3673,150.211,1.55545e-06,149.269,-33.6246,151.318,1.56418e-06,140.832,-33.3673,154.261,1.55386e-06,152.791,-34.2468,156.513,1.57189e-06,167.969,-32.7019,162.704,1.55557e-06,152.525,-36.6285,172.828,1.55521e-06,149.129,-30.9665
6.08,248.52,375.0,15.0,18.52,14.3075,25.0,1.0,110.392,1.45693e-06,147.667,-32.3331,111.822,1.45746e-06,147.685,-32.3629,118.606,1.51657e-06,-24.5794,-32.1774,120.766,1.45922e-06,147.666,-32.3341,124.454,1.45922e-06,147.665,-32.3325,127.757,1.45922e-06,147.664,-32.3207,132.451,1.45921e-06,147.653,-32.2795,132.82,1.5181e-06,-24.5431,-32.0959,133.315,1.51884e-06,-24.5778,-32.1782,135.666,1.45737e-06,146.515,-30.6141,137.317,1.51884e-06,-24.5775,-32.1695,139.435,1.45786e-06,147.05,-29.5907,139.577,1.5181e-06,-24.5345,-32.0763,140.431,1.51884e-06,-24.5678,-32.1306,143.0,1.51692e-06,-23.599,-30.6141,143.413,1.47138e-06,139.037,-35.7472,145.922,1.47149e-06,140.336,-36.2387,147.685,1.52992e-06,-17.5821,-35.7472,149.707,1.46135e-06,147.826,-35.0684,150.069,1.53025e-06,-18.5196,-36.2387,150.537,1.47629e-06,138.794,-30.6141,150.887,1.47281e-06,140.385,-34.504,151.883,1.45937e-06,147.345,-30.9944,151.9,1.53092e-06,-17.3456,-34.2468,152.352,1.45908e-06,147.431,-31.5213
6.08,248.52,400.0,15.0,18.52,14.3446,25.0,1.0,110.807,1.52806e-06,149.34,-30.6599,117.732,1.52807e-06,149.312,-30.6141,133.451,1.53868e-06,146.729,-36.2387,135.368,1.53051e-06,154.474,-32.7019,135.848,1.53086e-06,153.777,-33.3673,137.187,1.53104e-06,153.773,-33.3673,139.075,1.53064e-06,154.118,-32.9681,139.227,1.5379e-06,146.426,-35.7472,139.752,1.5316e-06,153.287,-34.504,140.61,1.53799e-06,145.749,-36.6285,141.224,1.53952e-06,146.832,-38.5602,142.087,1.53816e-06,145.748,-36.6285,142.963,1.53901e-06,146.303,-38.5602,142.968,1.52928e-06,149.341,-30.6668,144.381,1.53957e-06,146.304,-38.5602,144.596,1.53456e-06,152.859,-38.5602,144.785,1.53991e-06,140.518,-32.9681,144.803,1.54059e-06,142.232,-30.6141,146.732,1.5411e-06,138.934,-32.7019,148.228,1.53885e-06,142.069,-33.3673,148.481,1.55838e-06,138.665,-36.6285,148.798,1.69425e-06,153.994,-33.2601,150.076,1.53259e-06,149.487,-33.4062,150.103,1.53143e-06,153.363,-34.2468,150.531,1.54071e-06,141.065,-33.3673
6.08,248.52,365.0,20.0,18.52,14.3092,25.0,1.0,110.167,1.41982e-06,147.516,-32.4844,118.823,1.55385e-06,-24.6271,-32.1297,123.716,1.42211e-06,147.514,-32.4826,126.552,1.42211e-06,147.511,-32.4687,132.388,1.42211e-06,147.499,-32.4256,133.245,1.55538e-06,-24.5924,-32.0491,133.895,1.55612e-06,-24.6256,-32.1313,136.116,1.42035e-06,146.207,-30.6141,138.177,1.55612e-06,-24.6258,-32.1243,139.366,1.42079e-06,146.869,-29.6874,139.545,1.42101e-06,147.042,-29.6821,139.647,1.42107e-06,147.065,-29.8542,139.747,1.55538e-06,-24.5844,-32.0299,140.531,1.55612e-06,-24.6167,-32.0864,142.952,1.55418e-06,-23.7131,-30.6141,145.397,1.43538e-06,137.389,-35.7472,146.251,1.5668e-06,-18.3171,-35.7472,146.532,1.43557e-06,137.382,-35.7472,148.043,1.43525e-06,139.043,-36.2387,148.622,1.56722e-06,-19.11,-36.2387,149.486,1.42422e-06,147.679,-35.2144,150.556,1.56981e-06,-19.7583,-30.4176,151.423,1.56777e-06,-17.7973,-34.2468,151.657,1.42229e-06,147.185,-31.1443,151.864,1.43653e-06,139.656,-34.504
6.08,248.52,370.0,20.0,18.52,14.359,25.0,1.0,110.253,1.43392e-06,147.874,-32.1264,111.702,1.43446e-06,147.892,-32.1564,118.762,1.5387e-06,-24.886,-31.8708,123.856,1.43548e-06,147.833,-32.0422,131.345,1.43547e-06,147.823,-32.0216,133.188,1.54023e-06,-24.8507,-31.7896,133.762,1.54098e-06,-24.8841,-31.8725,134.618,1.43427e-06,146.833,-30.6141,136.041,1.54022e-06,-24.854,-31.7998,138.322,1.54098e-06,-24.8845,-31.8648,139.699,1.54023e-06,-24.8428,-31.7705,140.262,1.54022e-06,-24.8553,-31.8028,141.553,1.53893e-06,-24.116,-30.6141,142.554,1.44784e-06,139.32,-35.7472,143.742,1.55099e-06,-19.0025,-35.7472,144.842,1.44801e-06,140.66,-36.2387,145.965,1.55148e-06,-19.7474,-36.2387,149.564,1.43835e-06,148.034,-34.8597,150.191,1.45275e-06,138.897,-30.6141,150.209,1.55412e-06,-19.9799,-30.3739,150.55,1.5519e-06,-18.1909,-34.2468,152.22,1.45516e-06,133.438,-32.9681,153.258,1.55157e-06,-18.6347,-34.504,155.939,1.54016e-06,-24.1012,-30.6015,158.082,1.54315e-06,-25.0352,-34.6169
6.08,248.52,375.0,20.0,18.52,14.4187,25.0,1.0,110.338,1.44808e-06,148.225,-31.7753,111.793,1.44862e-06,148.243,-31.8055,113.516,1.45056e-06,148.198,-31.7603,118.699,1.52358e-06,-25.15,-31.6068,121.694,2.14949e-06,154.971,-31.7269,128.669,1.45096e-06,148.032,-30.6879,128.857,1.45096e-06,148.058,-30.8464,129.746,1.45096e-06,148.054,-30.8467,130.64,1.45096e-06,148.027,-30.6547,132.743,1.44828e-06,147.438,-30.6141,138.961,1.46066e-06,141.111,-35.7472,140.743,1.46105e-06,142.173,-36.2387,142.661,1.48519e-06,138.208,-41.5368,142.667,1.46363e-06,142.995,-30.4122,144.031,1.46166e-06,140.716,-34.2468,149.378,1.52481e-06,-25.1,-31.528,149.643,1.45253e-06,148.383,-34.5114,150.953,1.4668e-06,135.033,-32.9681,152.023,1.73036e-06,139.899,-28.3573,156.118,1.48866e-06,135.075,-36.6285,156.692,1.4643e-06,137.598,-33.3673,157.74,1.46451e-06,137.601,-33.3673,158.013,1.52805e-06,-25.2999,-34.3518,158.894,1.46691e-06,136.468,-33.3673,169.158,1.46623e-06,142.853,-35.1421
6.08,248.52,380.0,20.0,18.52,14.3656,25.0,1.0,110.424,1.46229e-06,148.569,-31.4311,111.871,1.46283e-06,148.587,-31.461,113.557,1.46472e-06,148.542,-31.4164,130.218,1.46239e-06,148.025,-30.6141,133.047,1.4738e-06,142.773,-35.7472,134.647,1.47435e-06,143.59,-36.2387,136.829,1.46383e-06,152.156,-33.3673,139.644,1.46466e-06,152.031,-34.504,142.375,1.47466e-06,141.626,-34.2468,144.088,1.4662e-06,148.651,-31.5304,144.674,1.47435e-06,142.11,-34.504,149.709,1.46328e-06,148.23,-30.1967,149.715,1.46676e-06,148.725,-34.1698,151.232,1.46336e-06,152.344,-32.7019,151.82,1.4811e-06,134.296,-32.7019,152.292,1.46632e-06,148.53,-31.3629,153.289,1.46355e-06,152.244,-32.9681,153.652,1.46632e-06,148.552,-31.3899,154.288,1.47674e-06,138.824,-33.3673,163.044,1.46447e-06,152.05,-34.2468,163.573,1.47473e-06,144.329,-36.1255,163.997,1.47474e-06,144.321,-36.1165,164.799,1.47474e-06,144.31,-36.1022,165.29,1.47472e-06,144.208,-35.9749,167.553,1.47467e-06,144.151,-35.9148
6.08,248.52,390.0,20.0,18.52,14.2976,25.0,1.0,110.592,1.49086e-06,149.238,-30.7623,120.197,1.49086e-06,149.142,-30.6141,129.586,1.50165e-06,146.163,-36.2387,134.158,1.49321e-06,154.571,-32.7019,134.998,1.5009e-06,145.754,-35.7472,135.408,1.49356e-06,153.801,-33.3673,137.242,1.50096e-06,143.593,-34.504,138.279,1.49334e-06,154.173,-32.9681,138.928,1.50103e-06,145.439,-36.6285,139.43,1.4943e-06,153.28,-34.504,139.879,1.50127e-06,145.442,-36.6285,140.575,1.50247e-06,146.593,-38.5602,142.68,1.49207e-06,149.233,-30.7351,144.334,1.49726e-06,152.838,-38.5602,145.756,1.50362e-06,139.505,-32.9681,148.021,1.5051e-06,137.63,-32.7019,148.179,1.65695e-06,154.027,-33.2601,149.788,1.49413e-06,153.359,-34.2468,149.861,1.49538e-06,149.388,-33.5048,152.058,1.50433e-06,140.238,-33.3673,158.789,1.49579e-06,152.932,-36.6285,166.537,1.49471e-06,149.313,-31.8815,172.438,1.49513e-06,149.243,-30.8469,172.483,1.50829e-06,144.137,-25.6747,173.522,1.70145e-06,152.86,-36.9999
6.08,248.52,365.0,25.0,18.52,14.3798,22.0,1.0,110.112,1.41093e-06,148.087,-31.9129,111.577,1.41147e-06,148.106,-31.943,131.277,1.41171e-06,146.923,-31.8924,133.394,1.41119e-06,147.168,-30.6141,141.572,1.42432e-06,139.647,-35.7472,143.592,1.42453e-06,141.027,-36.2387,149.418,1.41538e-06,148.25,-34.6441,149.834,1.42921e-06,139.005,-30.6141,150.763,1.69413e-06,139.388,-28.3573,151.554,1.56502e-06,143.764,-38.5602,151.948,1.43158e-06,133.346,-32.9681,153.022,1.43179e-06,133.347,-32.9681,158.844,1.43009e-06,145.458,-48.4554,158.909,1.42851e-06,136.499,-33.3673,160.04,1.43031e-06,145.463,-48.4554,160.979,1.43135e-06,135.171,-33.3673,167.166,1.41793e-06,147.735,-22.6645,168.638,1.41792e-06,147.736,-22.6778,171.704,1.4152e-06,148.096,-32.053,186.055,1.41483e-06,148.157,-32.9045,195.676,1.56478e-06,-25.2358,-32.5658,197.772,1.56397e-06,-24.8201,-30.9071,,,,,,,,,,,,
6.08,248.52,375.0,25.0,18.52,14.4894,25.0,1.0,110.286,1.43936e-06,148.789,-31.2107,111.554,1.45099e-06,144.884,-36.5238,120.508,1.45099e-06,144.953,-36.6285,127.808,1.43941e-06,148.381,-30.6141,129.121,1.45044e-06,143.315,-35.7472,130.705,1.45104e-06,144.107,-36.2387,136.004,1.44134e-06,152.968,-33.3673,139.296,1.44213e-06,152.626,-34.504,140.631,1.4409e-06,153.508,-32.7019,141.623,1.45123e-06,141.869,-34.2468,142.029,1.44064e-06,148.724,-30.9351,142.198,1.44058e-06,148.761,-31.0495,143.578,1.45094e-06,142.358,-34.504,143.715,1.44107e-06,153.223,-32.9681,143.975,1.44514e-06,152.366,-38.5602,146.251,1.4432e-06,148.817,-31.6103,149.578,1.44386e-06,148.947,-33.9467,151.514,1.4575e-06,134.25,-32.7019,154.211,1.44195e-06,152.677,-34.2468,159.077,1.4515e-06,144.807,-36.4116,161.364,1.45143e-06,144.487,-35.996,162.69,1.45147e-06,144.487,-36.0001,163.154,1.44367e-06,152.407,-36.6285,166.127,1.44454e-06,152.52,-36.6285,166.737,1.45139e-06,144.307,-35.7971
