tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
429.28,196.89,64.01,470.0,0.0,1.6,25.0,1.0,106.569,7.02447e-07,101.685,-78.3151,114.635,7.02448e-07,101.806,-78.335,157.469,1.33174e-06,88.6063,166.787,158.675,8.62316e-07,69.6007,-70.5551,166.744,8.62375e-07,69.5286,-70.5164,166.922,1.00937e-06,113.483,110.413,167.962,9.77216e-07,114.823,121.862,167.97,9.53103e-07,116.169,134.284,172.289,1.01053e-06,112.136,120.666,172.482,7.89085e-07,102.102,-66.6141,174.283,1.27694e-06,107.569,171.408,176.339,1.43621e-06,90.4701,14.6868,176.344,1.0109e-06,112.002,121.862,176.524,9.93867e-07,114.046,115.723,178.454,7.75165e-07,107.803,-64.1357,182.041,1.03669e-06,111.191,-12.5408,183.066,1.621e-06,101.925,-156.268,183.142,7.16721e-07,100.174,-77.0764,184.224,7.10097e-07,97.3927,-77.328,185.793,1.00595e-06,113.527,112.024,185.918,1.00596e-06,113.294,110.413,188.957,9.80174e-07,114.678,120.666,189.088,1.61039e-06,101.272,-154.707,190.779,1.05491e-06,93.0593,95.6671,191.18,1.04454e-06,93.6943,125.072
429.28,196.89,64.01,365.0,5.0,14.2354,25.0,1.0,106.48,6.95378e-07,71.48,-108.52,107.66,7.95902e-07,70.2659,54.4914,120.321,6.9796e-07,71.5226,-108.521,120.653,8.93103e-07,85.5194,-52.2684,120.875,8.13539e-07,46.7303,49.1734,122.626,1.92882e-06,64.4643,56.9232,131.106,8.9512e-07,85.5724,-52.2699,131.866,6.95606e-07,73.2235,-109.83,134.988,7.15513e-07,41.9068,-101.968,135.851,1.92883e-06,64.5179,57.5971,136.808,1.16399e-06,84.3118,-12.1922,139.415,1.92888e-06,64.7872,57.5884,141.526,7.163e-07,49.3973,-99.3257,142.279,7.17083e-07,50.5729,-98.443,145.674,6.98187e-07,73.2677,-109.83,146.004,6.98011e-07,71.3389,-108.514,146.353,7.02334e-07,68.6289,-107.762,146.796,7.1876e-07,27.3672,-103.574,147.13,6.98184e-07,71.5488,-108.524,148.269,7.18027e-07,41.9329,-101.968,148.439,8.17938e-07,27.3672,50.3484,148.647,1.35903e-06,67.4865,-114.283,148.657,7.05259e-07,69.275,-107.591,149.164,7.05615e-07,70.8493,-108.236,149.197,7.02882e-07,67.4487,-107.384
429.28,196.89,64.01,370.0,5.0,14.2598,25.0,1.0,106.418,6.90394e-07,72.8327,-107.167,119.72,6.93037e-07,72.7947,-107.166,119.887,8.91962e-07,86.6039,-51.1734,120.429,1.00724e-06,93.415,94.5402,120.576,1.00725e-06,93.6207,93.6147,128.083,7.03932e-07,47.2889,-101.968,130.226,8.02497e-07,47.6514,49.2167,134.109,1.00726e-06,93.6952,92.9287,136.388,8.93994e-07,86.5348,-51.1711,137.432,6.91345e-07,76.432,-109.83,138.668,7.04424e-07,48.9427,-101.511,139.056,7.56601e-07,90.5649,-93.2782,139.391,1.92188e-06,65.4594,57.5884,141.03,7.06524e-07,47.3415,-101.968,141.153,7.04791e-07,34.3895,-103.574,143.52,7.07129e-07,53.9419,-98.443,143.632,8.04805e-07,47.7027,49.2548,144.051,6.93072e-07,73.0374,-107.173,144.678,6.93154e-07,72.8597,-107.169,145.525,1.00743e-06,93.4507,94.2551,145.856,9.17355e-07,32.8689,-49.2696,146.013,6.96437e-07,69.9232,-106.53,147.065,7.06119e-07,53.077,-99.3257,147.146,6.93253e-07,72.5198,-107.149,148.393,6.99533e-07,70.5569,-106.304
429.28,196.89,64.01,385.0,5.0,1.6,11.0,1.0,106.404,6.89317e-07,77.006,-102.994,161.241,8.21382e-07,113.479,-109.83,172.973,8.70988e-07,49.9707,-60.1257,180.067,7.13553e-07,86.3104,-109.83,181.523,2.05265e-06,44.1195,-25.0095,193.516,6.96995e-07,71.8278,-101.482,196.861,1.61156e-06,115.744,160.108,197.47,1.86375e-06,116.106,-47.989,202.868,8.28654e-07,149.571,-95.9954,209.295,3.11975e-06,62.927,-113.198,218.377,2.1817e-06,56.4207,-16.4632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429.28,196.89,64.01,475.0,5.0,1.6,25.0,1.0,106.417,6.90363e-07,103.402,-76.5985,134.938,6.90712e-07,105.726,-77.0941,142.309,8.16648e-07,78.0903,-72.6267,166.202,6.98033e-07,105.727,-76.917,167.052,1.3309e-06,113.077,178.246,170.64,1.26712e-06,112.599,171.408,171.087,1.69126e-06,101.885,-169.571,171.677,7.18624e-07,107.296,-82.454,179.854,9.57098e-07,102.503,120.666,181.01,9.46115e-07,173.233,-103.574,182.718,7.92393e-07,135.407,-72.6754,183.195,1.6084e-06,102.942,-156.268,187.367,9.67649e-07,99.9641,-12.5408,188.017,9.00232e-07,99.871,148.208,189.507,1.00546e-06,95.0925,124.592,192.411,1.03962e-06,94.1533,95.6671,192.673,8.16956e-07,78.1306,-72.6746,197.025,1.02949e-06,95.0925,125.072,197.839,1.02936e-06,95.0925,125.965,199.131,1.01266e-06,95.2621,3.26104,201.015,1.24183e-06,102.839,-112.074,205.203,1.02188e-06,95.9262,125.434,205.616,9.80715e-07,98.08,132.636,207.536,9.80724e-07,98.08,133.307,207.956,7.22768e-07,106.618,-81.6808
429.28,196.89,64.01,715.0,5.0,15.6094,25.0,1.0,110.955,1.15972e-06,146.115,-33.8854,124.755,1.15973e-06,146.499,-34.0579,127.816,1.16235e-06,146.38,-33.9327,129.283,1.15977e-06,145.877,-32.827,129.947,1.15976e-06,146.751,-34.1924,130.477,1.16098e-06,145.986,-33.8779,131.867,1.16234e-06,146.424,-33.9428,141.265,1.16103e-06,145.744,-33.8675,141.736,1.16451e-06,145.711,-33.7353,142.501,1.16237e-06,146.333,-33.927,147.036,1.16448e-06,146.032,-33.8555,147.397,1.37643e-06,139.186,142.686,148.086,1.21146e-06,147.246,-34.1151,149.225,1.21145e-06,147.173,-34.0662,151.029,1.16358e-06,146.424,-33.9731,151.691,1.19078e-06,137.647,-38.0376,151.757,1.16209e-06,145.83,-33.8419,152.143,1.16164e-06,146.519,-33.9256,152.472,1.19053e-06,137.721,-38.0376,152.924,1.16185e-06,145.996,-33.8708,153.809,1.16107e-06,147.261,-33.9603,155.082,1.17006e-06,146.178,-33.9384,155.427,1.16373e-06,146.506,-34.0042,155.471,1.16201e-06,146.055,-33.8768,156.041,1.19167e-06,128.194,-34.1924
429.28,196.89,64.01,720.0,5.0,15.6778,25.0,1.0,111.058,1.17344e-06,146.573,-33.4268,118.348,1.17497e-06,146.273,-33.417,125.329,1.17346e-06,146.441,-32.827,127.691,1.17629e-06,146.835,-33.4792,131.128,1.17484e-06,146.446,-33.4187,132.243,1.17628e-06,146.874,-33.4881,132.511,1.17498e-06,146.143,-32.827,134.075,1.17359e-06,147.927,-34.0579,136.97,1.17484e-06,146.26,-33.4072,141.49,1.17512e-06,147.647,-34.0579,141.672,1.17629e-06,146.793,-33.4723,144.441,1.19535e-06,137.98,-38.0376,145.926,1.36351e-06,147.017,152.393,151.434,1.17752e-06,146.873,-33.5172,152.009,1.1756e-06,146.994,-33.4783,152.066,1.17593e-06,146.288,-33.3798,152.861,1.22543e-06,148.45,-34.1151,153.105,1.17572e-06,146.453,-33.4104,155.035,1.18276e-06,146.502,-33.3736,155.068,1.20207e-06,129.997,-34.1924,155.254,1.18396e-06,146.628,-33.4735,155.59,1.20323e-06,129.09,-34.0662,156.046,1.233e-06,131.464,-42.3485,156.427,1.36351e-06,147.016,152.379,156.479,1.19229e-06,146.864,-33.8902
429.28,196.89,64.01,725.0,5.0,15.797,25.0,1.0,111.16,1.18722e-06,147.021,-32.9792,118.638,1.18875e-06,146.562,-32.9651,119.423,1.18722e-06,146.988,-32.827,126.677,1.18875e-06,146.532,-32.827,127.839,1.19029e-06,147.277,-33.0359,132.863,1.19029e-06,147.312,-33.0439,137.496,1.18765e-06,149.249,-34.0579,138.802,1.18884e-06,147.332,-33.0022,141.312,1.19029e-06,147.239,-33.0276,145.094,1.18919e-06,148.82,-34.0579,145.337,1.37739e-06,147.426,152.393,147.015,1.21003e-06,136.821,-37.864,147.103,1.83316e-06,148.377,153.283,147.621,1.1888e-06,149.045,-33.0282,147.948,1.21062e-06,141.089,-41.4913,149.745,1.1888e-06,146.362,-32.95,151.714,2.4907e-06,148.771,152.73,152.255,1.18963e-06,147.445,-33.0407,152.419,1.18985e-06,146.734,-32.9283,153.442,1.18967e-06,146.898,-32.9607,153.455,1.19102e-06,148.093,-33.2719,153.986,1.19409e-06,146.766,-32.841,154.065,1.21283e-06,131.71,-34.1924,154.378,2.49047e-06,149.208,153.133,154.458,1.20775e-06,137.333,-36.0482
429.28,196.89,64.01,365.0,10.0,14.2679,25.0,1.0,106.285,6.8002e-07,71.0196,-108.98,106.588,7.03997e-07,43.7026,-100.329,119.602,7.06574e-07,43.7785,-100.326,119.705,6.82686e-07,70.9937,-108.98,120.536,8.76747e-07,85.4327,-52.3551,122.561,1.91382e-06,64.2482,57.1394,128.319,6.80119e-07,72.2159,-109.83,130.503,8.78796e-07,85.3594,-52.3526,134.402,7.04252e-07,46.2127,-99.3257,136.63,1.14754e-06,84.2162,-12.2732,137.054,1.91373e-06,64.7389,57.5971,137.634,1.91385e-06,64.4688,57.5884,139.628,7.04779e-07,47.7726,-98.443,141.728,6.82784e-07,72.1856,-109.83,143.761,6.8295e-07,71.9204,-108.996,144.036,1.91378e-06,64.7897,58.2319,144.941,6.82688e-07,70.975,-108.979,145.03,7.05279e-07,35.9774,-101.968,145.085,1.34375e-06,66.9116,-114.283,145.326,1.91379e-06,64.7914,58.2523,146.071,6.86839e-07,68.1273,-108.256,146.775,7.09168e-07,44.8099,-100.125,147.695,7.09316e-07,45.4121,-100.003,147.732,7.09322e-07,45.4378,-99.9988,147.783,7.09328e-07,45.4668,-99.9916
429.28,196.89,64.01,375.0,10.0,14.2657,25.0,1.0,106.159,6.70246e-07,73.8047,-106.195,119.478,6.72829e-07,74.0277,-106.203,125.82,8.74771e-07,87.6499,-50.1324,128.943,6.81044e-07,47.8559,-101.968,130.441,6.72829e-07,74.044,-106.203,137.116,8.76704e-07,87.4282,-50.1242,137.159,1.89988e-06,65.8331,57.5884,137.719,8.74778e-07,87.6237,-50.0718,139.77,6.72091e-07,79.0876,-109.83,142.737,6.82501e-07,28.1195,-103.574,143.171,6.84523e-07,55.0139,-98.443,143.614,7.4089e-07,93.3546,-93.2782,143.655,6.7297e-07,74.2845,-106.206,143.752,6.73049e-07,73.617,-106.192,145.333,6.75143e-07,70.814,-105.724,145.408,1.39228e-06,69.3917,98.7418,145.617,9.75434e-07,95.33,95.6671,146.431,6.74344e-07,76.975,-106.584,147.602,6.75166e-07,69.6239,-105.556,147.724,6.78334e-07,71.4239,-105.443,148.413,6.79418e-07,73.0469,-105.906,148.789,6.82608e-07,73.6051,-106.086,148.921,9.92155e-07,93.929,98.2099,149.043,6.80222e-07,73.4577,-106.049,149.059,6.80977e-07,72.6988,-105.686
