tx_x,tx_y,rx_x,rx_y,tx_z,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
429.28,196.89,470.0,0.0,64.01,1.6,24.0,1.0,104.038,7.02447e-07,101.685,-78.3151,111.835,7.02448e-07,101.806,-78.335,149.727,1.33174e-06,88.6063,166.787,157.453,8.62316e-07,69.6007,-70.5551,158.714,8.62375e-07,69.5286,-70.5164,169.842,1.27694e-06,107.569,171.408,170.671,7.89085e-07,102.102,-66.6141,173.972,1.43621e-06,90.4701,14.6868,175.426,3.42104e-06,70.2796,-112.583,176.658,7.75165e-07,107.803,-64.1357,178.339,9.4796e-07,116.307,150.515,179.915,1.03669e-06,111.191,-12.5408,180.062,7.16721e-07,100.174,-77.0764,180.304,7.10097e-07,97.3927,-77.328,181.438,9.47944e-07,116.306,150.517,182.103,1.621e-06,101.925,-156.268,182.927,3.29652e-06,71.9445,-113.111,186.276,1.02766e-06,93.7857,3.26104,187.603,1.61039e-06,101.272,-154.707,188.368,7.22664e-07,107.892,-81.5203,193.179,7.22966e-07,108.267,-81.7103,196.216,1.04813e-06,112.151,-13.1831,196.421,7.2309e-07,108.537,-81.7774,207.506,2.67433e-06,124.114,166.787,,,,
429.28,196.89,365.0,5.0,64.01,14.2354,25.0,1.0,103.95,6.95378e-07,71.48,-108.52,105.125,7.95902e-07,70.2659,54.4914,115.219,8.93103e-07,85.5194,-52.2684,117.485,8.13539e-07,46.7303,49.1734,119.41,6.9796e-07,71.5226,-108.521,120.486,1.92882e-06,64.4643,56.9232,126.651,8.9512e-07,85.5724,-52.2699,127.978,6.95606e-07,73.2235,-109.83,132.807,1.92883e-06,64.5179,57.5971,134.272,7.15513e-07,41.9068,-101.968,134.865,1.16399e-06,84.3118,-12.1922,136.022,1.92888e-06,64.7872,57.5884,137.745,7.163e-07,49.3973,-99.3257,139.693,7.17083e-07,50.5729,-98.443,143.3,7.1876e-07,27.3672,-103.574,143.405,6.98187e-07,73.2677,-109.83,144.817,8.17938e-07,27.3672,50.3484,147.266,1.16399e-06,84.4537,-12.5408,149.027,7.18027e-07,41.9329,-101.968,150.013,7.2441e-07,52.4464,-96.293,150.266,7.31384e-07,72.3705,-110.236,150.72,7.21327e-07,42.562,-101.839,150.757,7.2138e-07,42.709,-101.811,151.367,7.23076e-07,53.9241,-93.2782,151.735,7.44073e-07,72.9616,-112.736
429.28,196.89,370.0,5.0,64.01,14.2598,25.0,1.0,103.887,6.90394e-07,72.8327,-107.167,115.093,8.91962e-07,86.6039,-51.1734,118.7,6.93037e-07,72.7947,-107.166,126.76,7.03932e-07,47.2889,-101.968,127.97,8.02497e-07,47.6514,49.2167,131.94,8.93994e-07,86.5348,-51.1711,133.439,6.91345e-07,76.432,-109.83,135.186,7.56601e-07,90.5649,-93.2782,135.683,7.04424e-07,48.9427,-101.511,135.972,1.92188e-06,65.4594,57.5884,136.681,7.04791e-07,34.3895,-103.574,140.75,7.07129e-07,53.9419,-98.443,141.137,7.06524e-07,47.3415,-101.968,142.492,8.04805e-07,47.7027,49.2548,143.285,7.06119e-07,53.077,-99.3257,146.985,8.93407e-07,90.5649,-53.9565,148.22,6.93985e-07,76.3822,-109.83,148.421,7.59014e-07,90.4724,-93.2782,149.31,1.92944e-06,66.7805,75.6392,150.651,1.9299e-06,66.6459,76.6451,151.199,7.07387e-07,34.4631,-103.574,151.643,7.39357e-07,74.1978,-111.065,152.493,2.07457e-06,67.1753,14.6868,152.825,7.15244e-07,55.2526,-96.3907,153.732,7.0744e-07,21.9365,-104.056
429.28,196.89,385.0,5.0,64.01,1.6,11.0,1.0,103.874,6.89317e-07,77.006,-102.994,163.65,8.21382e-07,113.479,-109.83,175.885,2.05265e-06,44.1195,-25.0095,178.708,7.13553e-07,86.3104,-109.83,189.48,6.96995e-07,71.8278,-101.482,192.823,1.61156e-06,115.744,160.108,197.542,8.28654e-07,149.571,-95.9954,198.247,1.86375e-06,116.106,-47.989,214.814,3.11975e-06,62.927,-113.198,214.879,2.1817e-06,56.4207,-16.4632,218.653,2.16238e-06,75.5679,-151.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429.28,196.89,475.0,5.0,64.01,1.6,19.0,1.0,103.887,6.90363e-07,103.402,-76.5985,131.159,6.90712e-07,105.726,-77.0941,136.239,8.16648e-07,78.0903,-72.6267,162.729,6.98033e-07,105.727,-76.917,166.276,1.26712e-06,112.599,171.408,167.896,7.18624e-07,107.296,-82.454,170.362,1.3309e-06,113.077,178.246,172.642,8.16956e-07,78.1306,-72.6746,173.208,1.69126e-06,101.885,-169.571,174.813,9.46115e-07,173.233,-103.574,178.699,7.92393e-07,135.407,-72.6754,181.942,1.6084e-06,102.942,-156.268,184.85,9.67649e-07,99.9641,-12.5408,191.96,1.01266e-06,95.2621,3.26104,195.306,1.99053e-06,90.0191,33.8637,201.614,1.24183e-06,102.839,-112.074,204.716,7.22768e-07,106.618,-81.6808,207.345,2.55524e-06,130.855,-147.344,217.622,1.01459e-06,99.4669,11.3011,,,,,,,,,,,,,,,,,,,,,,,,
429.28,196.89,715.0,5.0,64.01,15.6094,25.0,1.0,108.403,1.15972e-06,146.115,-33.8854,121.269,1.15973e-06,146.499,-34.0579,124.052,1.16235e-06,146.38,-33.9327,125.554,1.15977e-06,145.877,-32.827,126.778,1.16098e-06,145.986,-33.8779,128.14,1.16234e-06,146.424,-33.9428,137.506,1.16103e-06,145.744,-33.8675,137.948,1.16451e-06,145.711,-33.7353,138.72,1.16237e-06,146.333,-33.927,143.259,1.16448e-06,146.032,-33.8555,147.227,1.16358e-06,146.424,-33.9731,147.954,1.16209e-06,145.83,-33.8419,148.338,1.16164e-06,146.519,-33.9256,149.119,1.16186e-06,145.996,-33.8708,149.346,1.19078e-06,137.647,-38.0376,150.01,1.16107e-06,147.261,-33.9603,150.207,1.19053e-06,137.721,-38.0376,151.626,1.16373e-06,146.506,-34.0042,151.672,1.16201e-06,146.055,-33.8768,154.962,1.16313e-06,141.47,-32.9984,157.694,1.19265e-06,135.026,-36.0482,159.213,1.16377e-06,144.381,-33.3925,164.695,1.1625e-06,145.924,-33.8472,165.699,2.90506e-06,142.633,-93.0854,166.03,1.19315e-06,127.119,-34.0579
429.28,196.89,720.0,5.0,64.01,15.6778,25.0,1.0,108.506,1.17344e-06,146.573,-33.4268,116.386,1.17497e-06,146.273,-33.417,121.776,1.17346e-06,146.441,-32.827,123.936,1.17629e-06,146.835,-33.4792,127.39,1.17484e-06,146.446,-33.4187,128.518,1.17628e-06,146.874,-33.4881,129.539,1.17498e-06,146.143,-32.827,130.28,1.17359e-06,147.927,-34.0579,133.287,1.17484e-06,146.26,-33.4072,137.894,1.17629e-06,146.793,-33.4723,138.287,1.17512e-06,147.647,-34.0579,141.472,1.19535e-06,137.98,-38.0376,146.878,1.36351e-06,147.017,152.393,147.631,1.17752e-06,146.873,-33.5172,148.205,1.1756e-06,146.994,-33.4783,148.263,1.17593e-06,146.288,-33.3798,149.3,1.17572e-06,146.453,-33.4104,152.702,1.17589e-06,146.512,-33.4171,153.9,1.17514e-06,147.723,-33.5316,157.767,1.36351e-06,147.016,152.379,164.258,1.20332e-06,129.027,-34.0579,164.349,1.19749e-06,135.105,-37.9298,164.642,1.17635e-06,146.381,-33.3862,166.017,1.19764e-06,135.41,-38.0055,166.537,1.81609e-06,147.206,-114.283
429.28,196.89,725.0,5.0,64.01,15.797,25.0,1.0,108.607,1.18722e-06,147.021,-32.9792,116.511,1.18722e-06,146.988,-32.827,116.695,1.18875e-06,146.562,-32.9651,124.085,1.19029e-06,147.277,-33.0359,124.405,1.18875e-06,146.532,-32.827,129.125,1.19029e-06,147.312,-33.0439,133.695,1.18765e-06,149.249,-34.0579,135.001,1.18884e-06,147.332,-33.0022,137.535,1.19029e-06,147.239,-33.0276,141.909,1.18919e-06,148.82,-34.0579,143.589,1.21003e-06,136.821,-37.864,145.527,1.21062e-06,141.089,-41.4913,146.306,1.37739e-06,147.426,152.393,147.641,2.4907e-06,148.771,152.73,148.257,1.83316e-06,148.377,153.283,148.45,1.18963e-06,147.445,-33.0407,148.615,1.18985e-06,146.734,-32.9283,149.637,1.18967e-06,146.898,-32.9607,149.651,1.19102e-06,148.093,-33.2719,150.003,2.49047e-06,149.208,153.133,150.96,1.19129e-06,149.409,-33.6429,152.348,1.20775e-06,137.333,-36.0482,153.378,1.18985e-06,146.957,-32.9679,156.1,1.3774e-06,147.425,152.379,156.139,1.83302e-06,148.423,153.494
429.28,196.89,365.0,10.0,64.01,14.2679,25.0,1.0,103.756,6.80021e-07,71.0196,-108.98,104.057,7.03997e-07,43.7026,-100.329,115.079,8.76747e-07,85.4327,-52.3551,118.523,7.06574e-07,43.7785,-100.326,118.709,6.82686e-07,70.9937,-108.98,120.432,1.91382e-06,64.2482,57.1394,124.488,6.80119e-07,72.2159,-109.83,125.958,8.78796e-07,85.3594,-52.3526,130.625,7.04252e-07,46.2127,-99.3257,134.111,1.91373e-06,64.7389,57.5971,134.35,1.91385e-06,64.4688,57.5884,134.756,1.14754e-06,84.2162,-12.2732,137.249,7.04779e-07,47.7726,-98.443,139.431,6.82784e-07,72.1856,-109.83,140.728,1.91378e-06,64.7897,58.2319,141.989,1.91379e-06,64.7914,58.2523,145.114,7.05279e-07,35.9774,-101.968,145.195,7.12796e-07,15.3174,-103.574,146.561,8.11938e-07,15.3174,50.3484,148.808,7.10083e-07,52.1334,-93.2782,150.025,7.15504e-07,71.9659,-110.734,150.938,1.34375e-06,66.9116,-114.283,151.694,7.07351e-07,47.8288,-98.443,153.248,8.68785e-07,52.4838,-32.827,154.274,8.46526e-07,52.1334,-53.9565
429.28,196.89,375.0,10.0,64.01,14.2657,25.0,1.0,103.63,6.70246e-07,73.8047,-106.195,118.462,6.72829e-07,74.0277,-106.203,121.267,8.74771e-07,87.6499,-50.1324,127.528,6.81044e-07,47.8559,-101.968,133.184,8.76704e-07,87.4282,-50.1242,133.845,1.89988e-06,65.8331,57.5884,135.729,6.72091e-07,79.0876,-109.83,139.393,6.82501e-07,28.1195,-103.574,140.367,6.84523e-07,55.0139,-98.443,140.495,7.4089e-07,93.3546,-93.2782,148.951,1.90763e-06,67.0658,75.6392,150.334,1.90807e-06,66.9318,76.6451,150.877,8.7758e-07,93.3546,-53.9565,153.083,7.43231e-07,93.0428,-93.2782,153.114,1.90398e-06,55.4627,57.5884,154.614,6.93875e-07,56.4974,-95.8034,155.33,6.74668e-07,78.8945,-109.83,156.204,6.91331e-07,57.2548,-93.2782,156.549,7.65257e-07,24.1116,-93.2782,157.849,8.86606e-07,82.0757,-32.827,158.527,1.78076e-06,50.7641,45.4039,160.243,2.05281e-06,67.499,14.6868,160.641,7.01884e-07,73.1434,41.6856,160.931,8.7952e-07,93.1021,-53.9565,161.022,1.33151e-06,69.7297,-114.283
