tx_x,tx_y,rx_x,rx_y,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
280.863,473.291,50.0,20.0,25.0,1.0,108.324,1.72681e-06,63.0101,-116.99,108.888,1.72718e-06,63.4797,-120.055,117.366,1.74116e-06,54.0679,-110.721,118.288,1.72718e-06,63.5115,-119.872,121.337,1.72874e-06,62.291,-116.979,122.681,1.74302e-06,53.3761,-110.732,126.211,1.7272e-06,63.3847,-121.092,127.756,1.72703e-06,64.3981,-117.6,132.882,1.74705e-06,68.9416,-109.123,136.929,1.72875e-06,62.5091,-116.981,138.76,1.74125e-06,54.7067,-110.198,139.136,1.72913e-06,62.6664,-121.092,140.977,1.72896e-06,63.7029,-117.6,142.471,1.72939e-06,62.9526,-116.987,142.628,1.72974e-06,61.6138,-116.984,142.848,1.73785e-06,53.0668,-112.648,143.796,1.7294e-06,63.3097,-117.004,144.101,1.72975e-06,63.0197,-116.991,144.119,1.73296e-06,62.2129,-116.847,144.492,1.74365e-06,53.1356,-121.092,144.507,1.72971e-06,63.0356,-116.991,144.945,1.7303e-06,63.0984,-116.998,145.342,1.75254e-06,80.8997,-113.287,145.845,1.74311e-06,54.0265,-110.198,146.17,1.72876e-06,62.561,-116.984
280.863,473.291,55.0,20.0,25.0,1.0,108.286,1.71932e-06,63.5141,-116.486,109.003,1.7198e-06,63.9855,-120.562,121.129,1.71981e-06,63.9367,-121.092,121.385,1.72131e-06,62.7923,-116.474,125.005,1.71982e-06,64.1062,-119.872,132.455,1.72004e-06,66.085,-117.6,134.166,1.72181e-06,63.2157,-121.092,137.454,1.72133e-06,63.0227,-116.477,138.283,1.72182e-06,63.3859,-119.872,139.909,1.72805e-06,54.5625,-112.648,140.655,1.72153e-06,62.1911,-116.445,140.935,1.72999e-06,53.8915,-112.648,142.919,1.72194e-06,63.449,-116.483,144.343,1.72204e-06,63.7934,-116.498,144.469,1.72526e-06,62.7078,-116.352,144.823,1.72226e-06,63.5345,-116.487,144.837,1.72147e-06,62.5103,-116.46,144.902,1.72284e-06,63.5967,-116.493,145.136,1.72302e-06,64.2634,-116.551,145.713,1.74324e-06,77.2352,-112.648,145.768,1.72205e-06,65.3876,-117.6,145.864,1.72148e-06,62.4522,-116.458,146.619,1.75018e-06,83.3627,-113.287,147.081,1.72656e-06,62.8032,-116.331,147.139,1.7276e-06,63.3189,-116.437
280.863,473.291,50.0,25.0,25.0,1.0,108.25,1.71226e-06,62.7522,-117.248,110.264,1.72796e-06,54.0141,-110.169,113.683,1.72796e-06,53.9774,-110.198,114.758,1.71256e-06,63.2136,-119.872,117.554,1.71849e-06,62.6938,-117.245,123.738,1.71233e-06,63.577,-117.6,124.022,1.7188e-06,63.1537,-119.872,128.67,1.7126e-06,63.1068,-121.092,130.051,1.71466e-06,62.0324,-119.872,133.091,1.71857e-06,63.5228,-117.6,137.922,1.71883e-06,63.0471,-121.092,139.995,1.72488e-06,51.935,-112.648,141.431,1.7314e-06,75.071,-112.648,142.148,3.55252e-06,62.9109,-118.32,143.05,1.73243e-06,68.8676,-107.187,144.875,1.73639e-06,80.4901,-113.287,147.025,1.72885e-06,56.2598,-107.187,147.199,1.71873e-06,61.4524,-117.143,149.054,1.72114e-06,64.349,-117.52,149.239,1.73301e-06,71.8588,-110.198,149.608,1.72796e-06,54.1267,-110.075,149.869,1.72229e-06,62.4309,-117.178,150.325,1.72245e-06,63.5978,-117.434,150.479,1.72701e-06,63.5279,-117.623,150.71,1.72687e-06,50.7546,-112.648
280.863,473.291,55.0,25.0,25.0,1.0,108.212,1.7047e-06,63.2596,-116.74,108.854,1.70512e-06,63.7352,-120.312,119.87,1.70684e-06,62.2094,-116.718,120.563,1.70727e-06,62.6799,-120.334,121.788,1.70513e-06,63.813,-119.872,123.553,1.70514e-06,63.6628,-121.092,123.606,1.70683e-06,62.2536,-116.722,124.168,1.70684e-06,62.2255,-116.72,130.386,1.70514e-06,65.3035,-117.6,135.015,1.70728e-06,62.6103,-121.092,136.167,1.70686e-06,62.0103,-116.708,137.546,1.7073e-06,62.633,-119.872,139.168,1.72653e-06,69.793,-107.187,141.598,1.71482e-06,53.4482,-112.648,142.403,1.7073e-06,64.2831,-117.6,143.079,1.71832e-06,55.0116,-110.198,143.105,1.70709e-06,63.199,-116.738,144.182,1.71045e-06,62.4511,-116.611,144.416,1.70792e-06,63.3489,-116.747,144.668,1.70737e-06,63.2874,-116.742,144.747,1.70801e-06,64.0154,-116.797,144.888,1.70714e-06,63.5148,-116.749,145.155,1.7273e-06,76.8212,-112.648,146.236,1.73393e-06,83.0615,-113.287,146.575,3.54597e-06,63.1624,-118.079
280.863,473.291,60.0,25.0,25.0,1.0,108.174,1.6973e-06,63.7716,-116.228,108.969,1.69785e-06,64.2489,-120.827,118.284,1.69785e-06,64.2243,-121.092,127.864,1.69789e-06,64.4186,-119.872,131.128,1.69938e-06,63.5019,-116.225,134.168,1.69843e-06,67.0792,-117.6,135.291,1.70515e-06,55.023,-112.648,141.796,1.70687e-06,54.9116,-121.092,142.182,1.69945e-06,63.026,-116.22,144.342,1.70054e-06,63.8556,-116.234,144.556,1.70281e-06,62.9544,-116.108,144.849,1.69974e-06,63.7088,-116.227,145.048,1.7008e-06,64.5163,-116.285,145.661,1.7e-06,63.7972,-116.229,146.46,1.69986e-06,63.9953,-116.236,146.714,1.70412e-06,63.0441,-116.083,146.875,1.70522e-06,63.5683,-116.181,147.441,1.70744e-06,63.9667,-116.289,147.566,1.72373e-06,78.6873,-112.648,147.65,1.70531e-06,63.5955,-116.187,147.717,1.70697e-06,63.9143,-116.27,147.894,1.7054e-06,63.8847,-116.256,148.267,1.70837e-06,63.3517,-116.085,148.421,1.70893e-06,54.7496,-121.092,148.975,1.70879e-06,62.944,-115.934
280.863,473.291,80.0,25.0,15.0,1.0,108.066,1.67642e-06,65.8646,-114.135,123.969,1.67646e-06,67.5733,-114.238,125.936,1.67754e-06,66.5233,-121.092,141.718,1.67787e-06,66.9025,-119.872,154.135,1.89772e-06,65.8902,-121.092,160.439,1.68217e-06,64.2422,-113.777,168.561,1.68892e-06,62.2358,-113.515,170.276,1.68892e-06,62.725,-113.494,180.616,1.69123e-06,62.1943,-112.41,183.334,1.71131e-06,67.264,-115.876,184.827,1.71129e-06,67.2487,-115.864,187.74,1.71149e-06,67.1999,-115.841,199.073,1.7163e-06,111.22,-117.061,203.906,1.73009e-06,66.1973,-114.793,211.242,2.11315e-06,65.6363,-119.872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.863,473.291,50.0,30.0,25.0,1.0,108.176,1.69771e-06,62.4898,-117.51,110.278,1.7161e-06,70.2501,-109.709,116.514,1.69771e-06,62.7057,-117.6,117.568,1.70393e-06,62.4321,-117.507,126.015,1.70393e-06,62.6546,-117.6,126.711,1.71477e-06,53.2216,-110.198,136.761,1.71758e-06,52.3931,-121.092,138.348,1.71208e-06,50.7431,-112.648,140.753,1.71558e-06,74.5766,-112.648,144.909,1.94801e-06,71.4637,-130.229,145.492,1.71745e-06,71.4601,-110.198,145.565,1.71526e-06,55.7382,-107.187,147.634,1.7042e-06,61.1609,-117.403,148.839,1.71347e-06,48.5776,-113.016,149.653,1.71528e-06,46.0266,-113.287,149.71,1.70754e-06,62.1713,-117.444,149.871,1.71474e-06,53.3879,-110.075,149.873,1.70464e-06,57.499,-117.361,151.08,1.70432e-06,58.1367,-117.352,151.298,1.71217e-06,59.5246,-116.194,153.113,1.73046e-06,62.1906,-117.21,153.902,1.74374e-06,62.1152,-116.954,154.466,1.79069e-06,58.3684,-42.5881,154.531,1.74767e-06,52.7195,-110.849,154.713,1.74793e-06,52.6267,-110.963
280.863,473.291,55.0,30.0,25.0,1.0,108.137,1.69016e-06,63.0005,-116.999,108.701,1.69053e-06,63.4807,-120.056,110.135,1.705e-06,53.8608,-110.513,118.122,1.69053e-06,63.5135,-119.872,119.91,1.69221e-06,61.9425,-116.978,124.368,1.70503e-06,54.2648,-110.198,126.026,1.69055e-06,63.3835,-121.092,127.616,1.69038e-06,64.4728,-117.6,130.807,1.69222e-06,61.8526,-116.975,135.64,1.70184e-06,52.2722,-112.648,136.08,1.70759e-06,52.8863,-121.092,137.623,1.69261e-06,62.3233,-121.092,139.767,1.69245e-06,63.4498,-117.6,142.997,1.69234e-06,62.1727,-116.989,143.721,1.69567e-06,62.1886,-116.874,143.807,1.69302e-06,63.096,-117.005,144.233,1.69227e-06,62.945,-116.998,144.552,1.71143e-06,76.3799,-112.648,144.576,1.6925e-06,63.0359,-117.001,145.827,1.71774e-06,82.7316,-113.287,146.548,3.53109e-06,63.04,-118.201,147.071,1.70278e-06,50.3565,-113.016,147.549,1.70609e-06,56.5216,-107.187,147.575,1.70407e-06,48.0726,-113.287,147.827,1.69228e-06,63.1968,-117.004
280.863,473.291,60.0,30.0,25.0,1.0,108.099,1.6827e-06,63.5159,-116.484,108.819,1.68318e-06,63.9979,-120.574,110.023,1.6953e-06,54.3238,-110.977,120.851,1.68319e-06,63.9491,-121.092,124.97,1.68484e-06,63.4951,-116.484,124.995,1.68321e-06,64.1241,-119.872,131.254,1.6919e-06,53.8671,-112.648,132.479,1.68346e-06,66.2935,-117.6,137.712,1.68533e-06,63.9356,-121.092,138.378,1.70876e-06,72.4585,-121.092,141.006,1.68497e-06,63.6461,-116.487,141.693,1.69549e-06,55.3361,-110.198,141.857,1.68535e-06,64.1135,-119.872,142.099,1.69243e-06,52.2318,-113.016,142.231,1.68493e-06,63.4669,-116.483,142.462,1.68573e-06,66.6579,-116.497,143.739,1.68558e-06,63.6069,-116.489,144.093,1.68796e-06,62.6952,-116.368,144.599,1.68575e-06,64.2655,-116.531,146.466,1.68926e-06,62.7876,-116.345,146.597,1.6903e-06,63.3165,-116.439,147.081,1.70774e-06,78.3048,-112.648,147.097,1.93632e-06,72.1666,-130.655,147.203,1.69246e-06,63.7191,-116.544,147.212,1.68509e-06,63.5524,-116.485
280.863,473.291,65.0,30.0,25.0,1.0,108.061,1.67539e-06,64.036,-115.964,112.649,1.69999e-06,71.8465,-108.079,114.502,1.676e-06,64.5203,-121.092,120.642,1.68236e-06,55.5296,-112.648,121.059,1.6778e-06,64.1025,-115.965,124.071,1.6778e-06,64.0923,-115.965,130.31,1.67607e-06,64.741,-119.872,131.535,1.68406e-06,55.0655,-121.092,134.96,1.68474e-06,55.4559,-112.648,135.077,1.67782e-06,64.0256,-115.964,135.673,1.67706e-06,68.1665,-117.6,136.011,1.68256e-06,54.2073,-113.016,139.698,1.72337e-06,77.6761,-111.132,142.636,1.67783e-06,64.0801,-115.965,143.099,1.68297e-06,52.593,-113.287,143.64,1.67826e-06,64.1229,-115.969,144.516,1.68038e-06,63.2074,-115.858,144.796,1.67846e-06,64.7061,-119.872,144.878,1.6786e-06,64.7745,-116.012,145.033,1.70464e-06,80.2936,-112.648,145.766,1.68392e-06,63.8013,-115.905,146.272,1.6817e-06,63.2928,-115.829,147.154,1.68515e-06,64.2274,-116.02,147.294,1.68297e-06,63.8517,-115.923,147.42,1.68466e-06,64.1743,-116.002
