tx_x,tx_y,rx_x,rx_y,tx_z,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
61.85,501.02,350.0,245.0,19.0,1.6,11.0,1.0,109.314,1.28747e-06,138.379,-41.6209,135.759,1.28792e-06,137.812,-37.5844,154.082,1.37712e-06,130.225,-63.0983,156.21,1.29097e-06,138.318,-41.5292,159.497,1.29099e-06,138.436,-41.6914,168.206,1.29095e-06,138.226,-41.4048,174.472,1.29067e-06,138.295,-41.1446,175.502,1.29099e-06,138.385,-41.6207,182.684,1.29431e-06,138.372,-41.3602,190.807,1.31337e-06,142.342,-61.3915,209.756,1.83074e-06,135.202,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,355.0,245.0,19.0,1.6,12.0,1.0,109.398,1.29998e-06,138.868,-41.1321,134.867,1.30032e-06,138.375,-37.5844,156.109,1.30348e-06,138.807,-41.0384,160.262,1.30352e-06,138.926,-41.206,168.479,1.30343e-06,138.715,-40.9137,174.556,1.30358e-06,139.159,-41.5428,174.632,1.30317e-06,138.783,-40.6494,179.862,1.3035e-06,138.873,-41.1315,182.619,1.30682e-06,138.859,-40.8686,187.497,1.45119e-06,142.123,-133.21,187.887,1.3033e-06,138.956,-41.6199,209.984,1.84262e-06,135.693,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,360.0,245.0,19.0,1.6,16.0,1.0,109.482,1.31258e-06,139.347,-40.6525,133.843,1.31283e-06,138.926,-37.5844,137.2,1.31423e-06,138.976,-37.8379,154.441,1.31605e-06,139.716,-42.7643,156.019,1.31607e-06,139.286,-40.557,160.983,1.31614e-06,139.406,-40.7296,166.746,1.76655e-06,135.597,15.2231,168.748,1.31601e-06,139.195,-40.432,174.661,1.31636e-06,140.055,-41.6962,174.792,1.31575e-06,139.262,-40.1638,176.333,1.31624e-06,139.642,-41.0901,182.575,1.31943e-06,139.337,-40.3863,183.053,1.31611e-06,139.352,-40.6516,187.368,1.46439e-06,142.525,-133.614,188.411,1.31592e-06,139.433,-41.1398,207.106,1.47719e-06,142.214,-134.278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,350.0,250.0,19.0,1.6,14.0,1.0,109.239,1.27646e-06,138.939,-41.0605,134.562,1.27679e-06,138.446,-37.5844,156.106,1.27995e-06,138.876,-40.9669,159.81,1.27999e-06,138.997,-41.1314,167.993,1.2799e-06,138.783,-40.8444,174.046,1.28006e-06,139.233,-41.4652,174.329,1.27964e-06,138.853,-40.5784,176.669,1.27997e-06,138.944,-41.0584,182.598,1.28329e-06,138.929,-40.7954,187.238,1.27978e-06,139.028,-41.5444,200.485,1.86852e-06,-161.197,-69.9449,203.405,1.43334e-06,143.869,-135.677,207.125,1.44062e-06,141.924,-133.957,209.861,1.81904e-06,135.705,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,355.0,250.0,19.0,1.6,17.0,1.0,109.325,1.28907e-06,139.427,-40.573,120.911,1.28908e-06,139.464,-40.6151,133.493,1.28932e-06,139.008,-37.5844,136.938,1.29071e-06,139.049,-37.7858,154.329,1.29255e-06,139.802,-42.6823,156.005,1.29255e-06,139.363,-40.4774,160.244,1.83332e-06,136.589,-43.13,160.561,1.29262e-06,139.485,-40.6471,166.609,1.74297e-06,135.607,15.2231,168.272,1.29249e-06,139.271,-40.3546,174.492,1.29224e-06,139.34,-40.0847,174.84,1.29287e-06,140.145,-41.6144,175.845,1.29274e-06,139.724,-41.0051,181.181,1.29259e-06,139.431,-40.5705,182.539,1.29591e-06,139.415,-40.3051,187.763,1.29241e-06,139.514,-41.0563,206.874,1.45379e-06,142.331,-134.402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,335.0,260.0,19.0,1.6,14.0,1.0,108.822,1.21689e-06,138.576,-41.4243,134.918,1.2173e-06,138.0,-37.5844,156.289,1.22036e-06,138.508,-41.3325,157.96,1.22038e-06,138.63,-41.4846,163.96,1.32819e-06,175.763,-49.4503,166.647,1.22032e-06,138.412,-41.2151,168.312,1.22037e-06,138.578,-41.4188,171.089,1.22042e-06,138.869,-41.7855,173.528,1.22007e-06,138.486,-40.95,182.727,1.22369e-06,138.563,-41.1582,185.428,1.22018e-06,138.669,-41.8997,203.08,1.37325e-06,143.762,-135.557,206.913,1.38066e-06,141.733,-133.74,209.367,1.76e-06,135.213,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,330.0,265.0,19.0,1.6,13.0,1.0,108.652,1.19337e-06,138.646,-41.3536,134.618,1.19377e-06,138.069,-37.5844,156.355,1.19682e-06,138.577,-41.2617,157.389,1.19685e-06,138.7,-41.4102,166.076,1.19679e-06,138.478,-41.1469,166.1,1.64861e-06,134.545,15.2231,166.322,1.19684e-06,138.647,-41.3461,170.508,1.19689e-06,138.942,-41.707,172.78,2.32734e-06,-16.641,-40.044,173.196,1.19654e-06,138.555,-40.88,182.785,1.20016e-06,138.632,-41.0855,184.799,1.19666e-06,138.741,-41.8244,202.851,1.34994e-06,143.915,-135.731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,335.0,265.0,19.0,1.6,15.0,1.0,108.744,1.20593e-06,139.171,-40.8292,123.184,1.20595e-06,139.238,-40.9002,133.571,1.20623e-06,138.679,-37.5844,136.353,1.20755e-06,138.765,-37.9757,154.013,1.20935e-06,139.568,-42.8761,156.186,1.20937e-06,139.101,-40.7355,158.312,1.20943e-06,139.225,-40.89,166.398,1.20932e-06,139.003,-40.6202,168.968,1.20941e-06,139.171,-40.8218,172.45,1.20952e-06,139.473,-41.2139,173.369,1.20909e-06,139.079,-40.349,177.304,1.20961e-06,139.911,-41.7616,177.806,2.3114e-06,-16.8302,-39.9953,182.622,1.21272e-06,139.155,-40.5587,185.341,1.20924e-06,139.263,-41.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,325.0,270.0,19.0,1.6,12.0,1.0,108.479,1.16986e-06,138.72,-41.28,134.306,1.17024e-06,138.14,-37.5844,156.448,1.17329e-06,138.647,-41.1881,156.783,1.17332e-06,138.772,-41.3327,164.445,1.17331e-06,138.719,-41.2706,165.475,1.17325e-06,138.548,-41.076,169.91,1.17337e-06,139.018,-41.6252,172.855,1.17302e-06,138.626,-40.8072,182.189,1.44054e-06,130.177,-94.0776,182.873,1.17663e-06,138.703,-41.0099,184.175,1.17314e-06,138.815,-41.7459,202.618,1.32663e-06,144.073,-135.911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,335.0,270.0,19.0,1.6,18.0,1.0,108.665,1.1951e-06,139.777,-40.2233,131.305,1.19521e-06,139.752,-40.2123,153.876,1.19861e-06,140.177,-42.3216,156.082,1.19852e-06,139.704,-40.1277,158.66,1.19861e-06,139.831,-40.2845,160.221,1.19968e-06,140.252,-42.3634,165.618,1.19907e-06,141.135,-41.9067,166.142,1.19845e-06,139.605,-40.0146,169.677,1.19857e-06,139.775,-40.2139,173.208,1.19824e-06,139.682,-39.7374,173.805,1.19875e-06,140.088,-40.6312,175.76,1.19894e-06,140.543,-41.2546,176.83,1.20128e-06,139.661,-39.8942,178.543,1.1983e-06,140.009,-40.4658,182.517,1.20189e-06,139.757,-39.9483,185.254,1.19843e-06,139.868,-40.6891,187.492,1.19951e-06,139.947,-40.7592,189.351,1.22367e-06,144.503,-61.3508,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,320.0,275.0,19.0,1.6,12.0,1.0,108.302,1.14634e-06,138.797,-41.2034,136.02,1.14797e-06,138.37,-38.2465,156.137,1.1498e-06,138.847,-41.252,156.575,1.14976e-06,138.721,-41.1115,162.644,1.14978e-06,138.794,-41.1919,164.84,1.14972e-06,138.62,-41.0022,169.293,1.14985e-06,139.096,-41.5401,172.504,1.14949e-06,138.701,-40.7315,172.983,1.22419e-06,138.131,20.4342,182.998,1.1531e-06,138.777,-40.9312,183.555,1.14962e-06,138.893,-41.6643,202.38,1.30334e-06,144.236,-136.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,325.0,275.0,19.0,1.6,14.0,1.0,108.397,1.15893e-06,139.341,-40.6593,125.577,1.15897e-06,139.453,-40.7662,135.761,1.16049e-06,138.918,-37.866,153.788,1.16237e-06,139.752,-42.6976,156.347,1.16234e-06,139.265,-40.5657,157.167,1.1624e-06,139.393,-40.7127,164.925,1.16238e-06,139.338,-40.648,165.195,1.16228e-06,139.165,-40.4557,171.323,1.16251e-06,139.649,-41.0292,172.685,1.16207e-06,139.244,-40.1807,178.324,1.16263e-06,140.104,-41.5817,182.749,1.1657e-06,139.32,-40.3848,184.105,1.16223e-06,139.435,-41.1204,194.815,1.16225e-06,139.436,-41.1445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
