tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
61.85,501.02,19.0,350.0,245.0,1.6,11.0,1.0,105.771,1.28747e-06,138.379,-41.6209,130.458,1.28792e-06,137.812,-37.5844,147.524,1.37712e-06,130.225,-63.0983,152.037,1.29097e-06,138.318,-41.5292,155.342,1.29099e-06,138.436,-41.6914,164.024,1.29095e-06,138.226,-41.4048,169.488,1.29067e-06,138.295,-41.1446,170.917,1.29099e-06,138.385,-41.6207,172.04,1.86993e-06,104.484,-83.508,181.211,1.29431e-06,138.372,-41.3602,204.373,1.83074e-06,135.202,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,355.0,245.0,1.6,17.0,1.0,105.855,1.29998e-06,138.868,-41.1321,129.567,1.30032e-06,138.375,-37.5844,150.495,1.94195e-06,103.497,26.3146,151.936,1.30348e-06,138.807,-41.0384,156.117,1.30352e-06,138.926,-41.206,164.292,1.30343e-06,138.715,-40.9137,169.645,1.30317e-06,138.783,-40.6494,170.445,1.30358e-06,139.159,-41.5428,171.858,1.87417e-06,104.976,-82.9545,174.707,1.3035e-06,138.873,-41.1315,181.102,1.45119e-06,142.123,-133.21,181.152,1.30682e-06,138.859,-40.8686,182.704,1.87984e-06,105.577,-99.503,182.879,1.3033e-06,138.956,-41.6199,204.603,1.84262e-06,135.693,11.0591,217.452,1.3017e-06,138.494,-38.1722,218.986,2.16272e-06,-144.945,-39.8692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,360.0,245.0,1.6,19.0,1.0,105.939,1.31258e-06,139.347,-40.6525,128.546,1.31283e-06,138.926,-37.5844,131.897,1.31423e-06,138.976,-37.8379,149.457,1.31605e-06,139.716,-42.7643,151.465,1.53276e-06,118.395,-61.0642,151.846,1.31607e-06,139.286,-40.557,156.848,1.31614e-06,139.406,-40.7296,164.554,1.31601e-06,139.195,-40.432,169.802,1.31575e-06,139.262,-40.1638,170.491,1.31636e-06,140.055,-41.6962,172.257,1.31624e-06,139.642,-41.0901,177.147,1.31611e-06,139.352,-40.6516,180.977,1.46439e-06,142.525,-133.614,181.115,1.31943e-06,139.337,-40.3863,182.462,1.88439e-06,106.063,-99.3074,183.398,1.31592e-06,139.433,-41.1398,196.892,1.89548e-06,106.46,-116.854,199.965,1.47719e-06,142.214,-134.278,218.876,2.17639e-06,-145.198,-40.1165,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,350.0,250.0,1.6,17.0,1.0,105.696,1.27646e-06,138.939,-41.0605,129.263,1.27679e-06,138.446,-37.5844,149.622,1.92189e-06,103.04,26.3146,151.934,1.27995e-06,138.876,-40.9669,155.668,1.27999e-06,138.997,-41.1314,163.805,1.2799e-06,138.783,-40.8444,169.348,1.27964e-06,138.853,-40.5784,169.939,1.28006e-06,139.233,-41.4652,171.914,1.85378e-06,104.613,-83.3642,171.965,1.27997e-06,138.944,-41.0584,181.142,1.28329e-06,138.929,-40.7954,182.24,1.27978e-06,139.028,-41.5444,196.297,1.43334e-06,143.869,-135.677,197.615,1.86852e-06,-161.197,-69.9449,199.976,1.44062e-06,141.924,-133.957,204.479,1.81904e-06,135.705,11.0591,217.233,1.27816e-06,138.558,-38.1257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,355.0,250.0,1.6,19.0,1.0,105.782,1.28907e-06,139.427,-40.573,116.313,1.28908e-06,139.464,-40.6151,128.197,1.28932e-06,139.008,-37.5844,131.636,1.29071e-06,139.049,-37.7858,149.352,1.29255e-06,139.802,-42.6823,150.633,1.92574e-06,103.641,26.3146,151.832,1.29255e-06,139.363,-40.4774,156.429,1.29262e-06,139.485,-40.6471,160.16,1.5143e-06,117.795,-61.1811,164.078,1.29249e-06,139.271,-40.3546,169.508,1.29224e-06,139.34,-40.0847,170.68,1.29287e-06,140.145,-41.6144,171.732,1.85806e-06,105.109,-82.8053,171.774,1.29274e-06,139.724,-41.0051,175.722,1.29259e-06,139.431,-40.5705,181.088,1.29591e-06,139.415,-40.3051,182.551,1.86378e-06,105.714,-99.4482,182.759,1.29241e-06,139.514,-41.0563,199.735,1.45379e-06,142.331,-134.402,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,335.0,260.0,1.6,15.0,1.0,105.281,1.21689e-06,138.576,-41.4243,129.619,1.2173e-06,138.0,-37.5844,152.117,1.22035e-06,138.508,-41.3325,153.814,1.22038e-06,138.63,-41.4846,159.466,1.32819e-06,175.763,-49.4503,162.464,1.22032e-06,138.412,-41.2151,164.048,1.22037e-06,138.578,-41.4188,166.957,1.22042e-06,138.869,-41.7855,168.566,1.22007e-06,138.486,-40.95,180.453,1.22018e-06,138.669,-41.8997,181.297,1.22369e-06,138.563,-41.1582,195.971,1.37325e-06,143.762,-135.557,197.769,1.78992e-06,105.574,-116.617,199.761,1.38066e-06,141.733,-133.74,203.985,1.76e-06,135.213,11.0591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,330.0,265.0,1.6,15.0,1.0,105.111,1.19337e-06,138.646,-41.3536,129.319,1.19377e-06,138.069,-37.5844,152.183,1.19682e-06,138.577,-41.2617,153.246,1.19685e-06,138.7,-41.4102,160.787,1.64861e-06,134.545,15.2231,161.893,1.19679e-06,138.478,-41.1469,162.094,1.19684e-06,138.647,-41.3461,166.381,1.19689e-06,138.942,-41.707,168.242,1.19654e-06,138.555,-40.88,179.833,1.19666e-06,138.741,-41.8244,181.372,1.20016e-06,138.632,-41.0855,195.746,1.34994e-06,143.915,-135.731,198.137,1.76941e-06,105.199,-116.541,200.516,2.64968e-06,-147.748,-163.469,207.859,2.19199e-06,-139.501,-40.1282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,335.0,265.0,1.6,16.0,1.0,105.202,1.20593e-06,139.171,-40.8292,118.234,1.20595e-06,139.238,-40.9002,128.274,1.20623e-06,138.679,-37.5844,131.052,1.20755e-06,138.765,-37.9757,149.062,1.20935e-06,139.568,-42.8761,152.014,1.20937e-06,139.101,-40.7355,154.179,1.20943e-06,139.225,-40.89,162.208,1.20932e-06,139.003,-40.6202,164.692,1.20941e-06,139.171,-40.8218,168.359,1.20952e-06,139.473,-41.2139,168.411,1.20909e-06,139.079,-40.349,173.102,1.20961e-06,139.911,-41.7616,180.369,1.20924e-06,139.263,-41.3,181.207,1.21272e-06,139.155,-40.5587,197.559,1.77386e-06,105.719,-116.647,200.587,2.6638e-06,-147.939,-163.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,325.0,270.0,1.6,14.0,1.0,104.938,1.16986e-06,138.72,-41.28,129.007,1.17024e-06,138.14,-37.5844,152.276,1.17329e-06,138.647,-41.1881,152.643,1.17332e-06,138.772,-41.3327,160.242,1.17331e-06,138.719,-41.2706,161.292,1.17325e-06,138.548,-41.076,165.788,1.17337e-06,139.018,-41.6252,167.909,1.17302e-06,138.626,-40.8072,168.913,1.44054e-06,130.177,-94.0776,171.808,1.73317e-06,103.722,-84.6325,179.219,1.17314e-06,138.815,-41.7459,181.48,1.17663e-06,138.703,-41.0099,195.518,1.32663e-06,144.073,-135.911,212.79,2.63204e-06,-146.597,-162.303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61.85,501.02,19.0,335.0,270.0,1.6,21.0,1.0,105.124,1.1951e-06,139.777,-40.2233,126.047,1.19521e-06,139.752,-40.2123,148.926,1.19861e-06,140.177,-42.3216,151.91,1.19852e-06,139.704,-40.1277,154.54,1.19861e-06,139.831,-40.2845,155.326,1.19968e-06,140.252,-42.3634,161.53,1.19907e-06,141.135,-41.9067,161.945,1.19845e-06,139.605,-40.0146,165.384,1.19857e-06,139.775,-40.2139,168.253,1.19824e-06,139.682,-39.7374,169.757,1.19875e-06,140.088,-40.6312,171.645,1.19894e-06,140.543,-41.2546,174.228,1.20128e-06,139.661,-39.8942,174.298,1.1983e-06,140.009,-40.4658,180.285,1.19843e-06,139.868,-40.6891,181.119,1.20189e-06,139.757,-39.9483,182.565,1.19951e-06,139.947,-40.7592,189.619,1.22367e-06,144.503,-61.3508,197.348,1.75781e-06,105.866,-116.677,200.56,2.6727e-06,-147.636,-163.359,206.271,1.75075e-06,169.318,11.0591,,,,,,,,,,,,,,,,
