tx_x,tx_y,tx_z,rx_x,rx_y,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
334.43,212.85,22.0,405.0,0.0,1.6,25.0,1.0,95.066,7.51328e-07,108.343,-71.6572,103.678,7.51333e-07,108.365,-71.6816,121.184,1.28384e-06,86.8447,-93.2793,125.972,8.71793e-07,44.9301,-57.9287,138.858,7.58549e-07,109.559,-72.0196,147.813,1.11785e-06,47.6912,-34.4014,155.976,8.78536e-07,100.099,23.2979,156.022,1.13761e-06,60.6419,-30.313,156.681,9.95469e-07,79.3689,-14.5375,157.743,1.1696e-06,60.6419,-9.16667,159.34,1.16722e-06,55.0942,-14.4595,162.314,7.51544e-07,108.286,-71.5236,165.964,7.51492e-07,108.345,-71.6608,170.582,7.53781e-07,108.395,-71.7489,173.312,1.33244e-06,58.4948,159.179,178.432,8.78634e-07,100.149,23.342,181.054,1.36115e-06,55.0942,-29.855,181.85,7.53911e-07,108.578,-72.0637,186.356,1.22753e-06,108.36,114.414,187.272,8.82538e-07,99.7416,21.8586,189.162,9.91029e-07,91.5705,14.5045,189.424,1.17668e-06,50.9714,-12.0455,192.896,1.00323e-06,90.3798,26.0106,199.344,1.44886e-06,102.325,112.812,206.218,1.46945e-06,55.5436,-177.178
334.43,212.85,22.0,410.0,0.0,1.6,25.0,1.0,95.1282,7.56723e-07,109.547,-70.4532,104.983,7.56733e-07,109.58,-70.4887,114.176,7.56917e-07,109.416,-70.3126,121.289,1.28303e-06,87.5904,-92.5351,124.484,7.58739e-07,109.534,-70.4393,127.052,8.60243e-07,45.958,-58.6734,128.115,1.06071e-06,95.7925,-41.7177,136.04,1.28481e-06,86.4284,-92.2616,156.235,9.92612e-07,80.8675,-14.5375,156.646,7.59033e-07,109.705,-70.6571,157.452,8.81607e-07,101.179,22.2328,158.175,1.19712e-06,61.3038,-7.53634,158.439,1.09986e-06,58.466,159.179,158.986,1.15786e-06,56.5693,-14.4595,161.899,7.5693e-07,109.49,-70.3183,166.069,7.56894e-07,109.547,-70.4531,168.258,1.32314e-06,59.5712,159.179,168.594,1.28311e-06,87.6112,-92.5516,170.079,2.36454e-06,65.1049,163.564,175.489,1.64198e-06,22.6192,-53.3366,180.753,1.28311e-06,87.6094,-92.5499,182.151,1.26992e-06,61.2124,-172.868,184.683,7.59034e-07,109.682,-70.6274,187.422,8.85507e-07,100.809,20.8073,188.891,9.91625e-07,92.5368,13.5389
334.43,212.85,22.0,415.0,0.0,1.6,25.0,1.0,95.1936,7.62445e-07,110.733,-69.2669,101.399,8.33475e-07,114.877,-171.465,113.681,7.62613e-07,110.606,-69.1345,123.939,7.64442e-07,110.733,-69.2665,127.337,1.06253e-06,96.8486,-40.8409,128.169,8.48972e-07,47.1718,-59.4266,150.286,7.62463e-07,110.778,-69.3141,152.751,7.75004e-07,117.157,-70.1942,155.168,8.29519e-07,104.362,-1.82731,155.783,9.90187e-07,82.3788,-14.5375,158.174,1.0914e-06,60.4553,159.179,158.952,8.84983e-07,102.252,21.1759,166.181,7.62622e-07,110.731,-69.263,168.696,1.28253e-06,88.3594,-91.8074,169.837,1.28244e-06,88.3371,-91.7901,175.565,1.62663e-06,23.2439,-53.3366,179.121,1.28255e-06,88.4436,-91.8729,180.169,1.28254e-06,88.334,-91.7853,180.638,8.35685e-07,114.588,-171.954,180.791,1.28253e-06,88.3574,-91.8056,182.926,1.26213e-06,63.0435,-172.868,184.164,8.88927e-07,101.803,19.474,188.623,9.92501e-07,93.4929,12.5548,192.558,9.26912e-07,118.934,-60.8035,193.516,1.28571e-06,88.7633,-91.9482
334.43,212.85,22.0,420.0,0.0,1.6,25.0,1.0,95.2622,7.68486e-07,111.901,-68.0989,101.474,8.40607e-07,115.912,-172.5,112.741,8.40628e-07,115.952,-172.46,113.063,8.4107e-07,115.698,-172.82,113.142,7.6863e-07,111.779,-67.9752,123.319,7.70466e-07,111.915,-68.1126,129.378,8.38071e-07,48.743,-60.18,130.328,1.01248e-06,58.4282,-54.5076,135.474,2.50987e-06,96.9539,-42.4705,138.947,7.71261e-07,111.967,-68.1148,139.914,8.9248e-07,102.855,18.4554,140.924,1.28232e-06,88.9279,-90.9408,152.165,7.71241e-07,111.921,-68.0876,155.561,1.11482e-06,65.1279,-30.313,155.753,7.70773e-07,111.731,-67.8255,165.346,8.42555e-07,116.085,-172.307,166.297,7.6867e-07,111.898,-68.091,168.824,1.28216e-06,89.1084,-91.0628,171.62,8.42553e-07,116.085,-172.305,172.758,8.91149e-07,103.533,20.2231,175.472,1.28207e-06,89.0844,-91.0445,175.651,1.61135e-06,23.9019,-53.3366,176.497,8.91158e-07,103.283,20.1078,180.66,1.28217e-06,89.0815,-91.04,180.855,1.28216e-06,89.1061,-91.0608
334.43,212.85,22.0,465.0,0.0,1.6,18.0,1.0,95.9936,8.35979e-07,121.526,-58.4735,127.88,9.36372e-07,112.062,9.71212,133.877,9.3645e-07,112.055,9.67586,148.589,9.34555e-07,112.305,11.088,148.824,8.44024e-07,118.544,-57.8895,153.123,1.19732e-06,134.201,-125.948,154.635,8.42797e-07,118.764,-57.8375,169.023,8.88636e-07,159.114,-68.1693,170.259,8.44248e-07,118.536,-57.9081,199.491,1.32329e-06,80.5273,-171.33,199.764,1.88618e-06,13.7272,27.3847,201.58,1.37128e-06,120.72,119.796,205.679,9.40224e-07,121.602,122.813,214.137,1.31371e-06,72.1624,-71.6523,218.851,1.10859e-06,84.2318,135.118,218.929,1.34991e-06,79.9273,157.488,218.977,8.71404e-07,117.532,-3.4255,219.915,8.71402e-07,117.525,-3.49716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,22.0,510.0,0.0,1.6,25.0,1.0,96.8555,9.23169e-07,129.518,-50.4824,103.714,9.2317e-07,129.519,-50.4849,122.089,1.08515e-06,122.956,122.867,128.438,1.08515e-06,122.958,122.813,147.72,1.00109e-06,120.309,3.13846,151.409,1.18344e-06,103.592,-177.178,151.484,1.32055e-06,97.4005,-171.33,153.042,1.01684e-06,120.938,6.70463,154.168,1.11942e-06,103.934,135.118,154.794,1.00832e-06,131.487,171.93,156.408,1.00151e-06,120.16,3.04368,161.501,1.09107e-06,121.665,127.953,162.792,1.08013e-06,122.838,122.813,165.275,1.00616e-06,122.262,3.41147,172.363,1.00149e-06,120.479,3.24991,173.055,1.00134e-06,120.195,2.84654,175.38,9.30137e-07,129.378,-50.2664,183.713,1.00909e-06,131.191,171.794,183.985,1.0564e-06,133.976,-43.5756,186.868,9.25233e-07,129.608,-50.5726,190.328,1.01084e-06,131.98,172.22,191.877,3.23477e-06,69.3471,-82.9317,192.7,9.2523e-07,129.69,-50.6503,194.252,1.75202e-06,96.3165,158.273,194.627,1.7658e-06,100.552,-115.827
334.43,212.85,22.0,590.0,0.0,1.6,20.0,1.0,98.4715,1.11187e-06,140.211,-39.789,113.668,1.11195e-06,140.212,-39.7911,129.645,1.11526e-06,135.209,-35.7869,132.563,1.11895e-06,132.46,-34.4014,135.703,1.12128e-06,132.707,-32.4062,150.935,1.11202e-06,140.201,-39.7662,159.893,1.55751e-06,106.121,16.9446,165.218,1.2235e-06,137.587,136.451,166.337,1.11378e-06,140.252,-39.8231,171.204,1.11425e-06,136.119,-36.3421,171.71,1.16059e-06,128.575,-11.7481,178.36,1.16426e-06,126.004,-13.8405,180.239,1.12679e-06,130.982,-30.313,183.104,1.13732e-06,128.575,-27.0719,203.483,1.63025e-06,155.969,-68.3114,205.952,1.11331e-06,140.289,-40.2668,211.293,1.21916e-06,131.164,-13.8405,211.629,1.39764e-06,133.05,-34.4014,213.31,1.32043e-06,153.708,-171.246,216.247,1.52231e-06,103.513,-12.7527,,,,,,,,,,,,,,,,,,,,
334.43,212.85,22.0,595.0,0.0,1.6,25.0,1.0,98.5714,1.12472e-06,140.756,-39.2441,114.038,1.1248e-06,140.757,-39.2456,128.506,1.12721e-06,136.538,-35.7869,131.745,1.13036e-06,133.961,-34.4014,151.376,1.12487e-06,140.746,-39.2209,164.835,1.40912e-06,133.982,-34.4014,166.225,1.12663e-06,140.795,-39.2766,169.849,1.12639e-06,137.392,-36.3421,170.64,1.2565e-06,133.766,133.798,177.232,1.2162e-06,141.613,161.856,179.808,1.257e-06,133.591,134.441,179.898,1.60414e-06,179.238,-178.078,182.16,1.13271e-06,133.947,-32.4062,183.264,1.21462e-06,141.562,161.806,183.76,1.88889e-06,101.1,-157.322,185.449,1.25835e-06,133.794,134.024,189.554,1.18044e-06,127.726,-11.7481,190.333,1.74145e-06,100.884,-76.9034,203.516,1.64549e-06,156.206,-68.0743,204.405,1.25474e-06,130.455,-11.7481,204.96,1.12618e-06,140.832,-39.7188,206.947,1.3755e-06,121.537,159.179,209.071,1.23e-06,139.902,122.813,212.992,1.34835e-06,145.211,158.697,213.521,1.3354e-06,154.171,-171.246
334.43,212.85,22.0,600.0,0.0,1.6,23.0,1.0,98.6708,1.13766e-06,141.288,-38.7116,111.46,1.13769e-06,141.272,-38.6911,114.385,1.13775e-06,141.289,-38.7124,127.192,1.13942e-06,137.805,-35.7869,130.849,1.14207e-06,135.39,-34.4014,151.808,1.13782e-06,141.278,-38.688,154.736,1.18117e-06,133.42,-9.16667,159.338,1.17587e-06,133.88,-46.4095,159.609,1.5671e-06,107.297,15.7779,166.115,1.13958e-06,141.326,-38.7425,168.236,1.13876e-06,138.606,-36.3421,173.549,1.18309e-06,130.807,-14.5375,175.611,1.18447e-06,128.651,-13.8405,177.625,1.18591e-06,127.565,-14.4595,177.83,1.22929e-06,142.097,161.371,179.545,1.62081e-06,179.245,-178.069,182.399,1.22772e-06,142.047,161.321,183.476,1.37083e-06,135.472,139.634,198.716,1.37985e-06,127.565,-29.855,203.548,1.66076e-06,156.439,-67.8416,204.142,1.13916e-06,141.363,-39.183,205.453,1.36346e-06,127.367,-12.6005,210.08,1.23123e-06,142.211,161.525,,,,,,,,
334.43,212.85,22.0,850.0,0.0,1.6,9.0,1.0,102.954,1.8624e-06,157.567,-22.433,115.412,1.95343e-06,157.293,146.121,129.144,1.8806e-06,160.315,-14.5375,129.598,1.88059e-06,160.44,-14.5375,130.167,1.9535e-06,156.894,145.556,137.83,1.88106e-06,162.763,-21.4573,137.942,1.95392e-06,157.552,147.218,194.89,2.51545e-06,152.984,-145.2,195.006,1.86504e-06,157.636,-23.3803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,22.0,855.0,0.0,1.6,9.0,1.0,103.026,1.87782e-06,157.761,-22.2386,115.452,1.96882e-06,157.48,145.934,119.209,1.88057e-06,158.969,-22.0178,126.502,1.87841e-06,158.044,-23.5555,127.76,1.96885e-06,157.217,145.556,138.246,1.96935e-06,157.74,147.074,180.854,3.38969e-06,95.0615,28.2526,191.015,1.89987e-06,159.426,-13.8405,195.001,1.88048e-06,157.83,-23.1839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334.43,212.85,22.0,405.0,5.0,1.6,25.0,1.0,94.8819,7.35578e-07,108.754,-71.2464,105.431,7.35593e-07,108.794,-71.2891,121.734,1.26721e-06,86.8042,-93.3221,123.719,2.48798e-06,95.2575,-42.4705,123.887,7.37522e-07,112.433,-75.9937,144.926,1.27018e-06,86.7764,-93.2782,147.717,1.10568e-06,46.2454,-34.4014,150.417,9.31416e-07,115.777,-61.0781,154.348,1.25303e-06,103.094,157.326,157.827,8.62169e-07,100.308,23.111,158.578,1.09502e-06,55.2833,159.179,167.702,2.44388e-06,61.7023,-26.1533,170.535,1.06837e-06,79.0814,140.71,174.838,1.65134e-06,20.5806,-53.3366,175.298,7.38051e-07,108.877,-71.4515,180.809,1.2639e-06,58.3856,-172.868,183.465,1.41993e-06,55.2953,138.873,186.587,1.2117e-06,108.609,114.661,187.457,7.38194e-07,109.077,-71.7786,188.864,9.74385e-07,91.5984,14.4808,189.391,1.16385e-06,49.7589,-12.0455,190.269,1.38625e-06,57.2566,135.118,192.57,9.86635e-07,90.3989,26.0117,196.0,9.26659e-07,103.847,122.813,196.389,1.35856e-06,57.2566,153.441
