tx_x,tx_y,rx_x,rx_y,tx_z,rx_z,n_path,link state,path_loss_1,delay_1,aoa_1,aod_1,path_loss_2,delay_2,aoa_2,aod_2,path_loss_3,delay_3,aoa_3,aod_3,path_loss_4,delay_4,aoa_4,aod_4,path_loss_5,delay_5,aoa_5,aod_5,path_loss_6,delay_6,aoa_6,aod_6,path_loss_7,delay_7,aoa_7,aod_7,path_loss_8,delay_8,aoa_8,aod_8,path_loss_9,delay_9,aoa_9,aod_9,path_loss_10,delay_10,aoa_10,aod_10,path_loss_11,delay_11,aoa_11,aod_11,path_loss_12,delay_12,aoa_12,aod_12,path_loss_13,delay_13,aoa_13,aod_13,path_loss_14,delay_14,aoa_14,aod_14,path_loss_15,delay_15,aoa_15,aod_15,path_loss_16,delay_16,aoa_16,aod_16,path_loss_17,delay_17,aoa_17,aod_17,path_loss_18,delay_18,aoa_18,aod_18,path_loss_19,delay_19,aoa_19,aod_19,path_loss_20,delay_20,aoa_20,aod_20,path_loss_21,delay_21,aoa_21,aod_21,path_loss_22,delay_22,aoa_22,aod_22,path_loss_23,delay_23,aoa_23,aod_23,path_loss_24,delay_24,aoa_24,aod_24,path_loss_25,delay_25,aoa_25,aod_25
955.55,503.74,720.0,5.0,152.0,15.6778,25.0,1.0,112.689,1.8958e-06,64.7191,-115.281,125.418,1.89806e-06,64.5073,-115.278,139.751,1.90163e-06,53.954,-113.299,148.555,1.90284e-06,58.9205,-110.835,149.886,1.90163e-06,57.9658,-112.117,156.113,1.91948e-06,59.7446,-98.0537,158.656,1.91019e-06,52.0803,-113.54,159.531,1.90325e-06,59.0681,-110.452,160.383,1.94576e-06,92.694,-113.299,162.653,1.93689e-06,43.8306,-110.835,164.943,1.92044e-06,59.7668,-97.2895,165.021,1.9107e-06,48.5452,-113.946,168.76,1.9106e-06,49.9699,-113.817,170.92,1.91041e-06,51.1408,-113.674,173.199,1.94802e-06,92.2194,-113.299,175.175,1.94912e-06,79.3836,-112.378,178.77,1.92379e-06,59.8257,-94.6742,184.884,2.636e-06,142.447,-133.889,185.074,1.96654e-06,43.6246,-111.48,185.095,1.92044e-06,59.7668,-97.2903,185.47,1.95834e-06,94.5392,-113.412,186.622,2.42911e-06,64.1498,-34.6797,187.852,1.94811e-06,85.1854,-113.039,191.446,2.02871e-06,68.4543,-45.7321,192.326,2.48783e-06,64.0461,-28.7476
955.55,503.74,715.0,10.0,152.0,15.7171,25.0,1.0,112.653,1.88817e-06,64.0247,-115.975,113.867,1.89689e-06,55.4137,-112.257,127.461,1.8969e-06,55.7129,-112.117,142.384,1.89762e-06,57.2735,-110.835,147.87,1.89896e-06,49.2756,-113.299,149.725,1.89795e-06,57.5185,-110.452,151.714,1.9121e-06,75.9466,-112.117,153.927,1.91379e-06,58.8345,-98.0537,156.798,1.96633e-06,77.4409,-98.0537,162.666,1.93589e-06,43.2527,-110.452,162.849,1.91474e-06,58.8667,-97.2895,169.449,1.93813e-06,43.2989,-110.452,172.427,1.90995e-06,46.3232,-113.741,173.55,1.91806e-06,58.9537,-94.6742,173.876,1.93571e-06,80.1969,-112.767,174.986,1.96674e-06,77.2782,-97.2888,175.05,1.93574e-06,79.413,-112.662,176.324,1.93342e-06,80.3545,-112.764,179.424,1.91467e-06,27.7273,-114.588,179.981,1.91474e-06,58.8667,-97.2904,184.663,2.61294e-06,142.735,-133.889,186.533,2.42162e-06,63.4254,-34.6797,192.319,2.48037e-06,63.3467,-28.7476,198.202,1.96914e-06,41.2674,-110.959,206.349,2.06081e-06,56.2755,-85.8944
955.55,503.74,720.0,10.0,152.0,15.8176,25.0,1.0,112.62,1.88106e-06,64.4955,-115.505,139.593,1.88786e-06,57.085,-112.117,143.624,1.8889e-06,58.2942,-110.835,145.783,1.8886e-06,51.9093,-113.299,153.018,1.89098e-06,52.3458,-113.299,153.073,1.88929e-06,58.4814,-110.452,153.862,1.90539e-06,59.4073,-98.0537,155.679,1.9085e-06,75.7673,-111.739,155.867,1.89029e-06,58.1252,-112.117,160.189,1.92945e-06,92.8356,-113.299,161.367,1.92564e-06,43.03,-110.835,162.804,1.90635e-06,59.4334,-97.2897,166.532,1.91062e-06,77.4259,-112.117,170.051,1.9078e-06,60.4827,-98.0537,170.835,1.89745e-06,50.8317,-113.419,172.866,1.93178e-06,92.3559,-113.299,173.582,1.89847e-06,46.6979,-113.888,174.014,1.92801e-06,43.5906,-110.835,174.729,1.93273e-06,79.282,-112.41,175.487,1.90969e-06,59.5033,-94.6742,181.701,1.90635e-06,59.4334,-97.2905,184.734,2.62604e-06,143.665,-133.889,186.533,2.41429e-06,63.9124,-34.6797,189.335,1.90043e-06,31.0418,-114.586,191.903,2.65638e-06,132.338,-133.889
955.55,503.74,725.0,10.0,152.0,15.8448,25.0,1.0,112.588,1.87413e-06,64.97,-115.03,131.303,1.8789e-06,54.7474,-113.299,142.544,1.88132e-06,55.1505,-113.299,154.415,1.8972e-06,59.9869,-98.0537,154.555,1.90832e-06,69.2966,-98.0537,159.028,1.88161e-06,58.8772,-112.117,161.54,1.93065e-06,95.8348,-113.299,162.536,1.91384e-06,43.7967,-110.835,163.328,1.89816e-06,60.0068,-97.2898,169.162,1.8871e-06,50.054,-113.858,169.706,1.88332e-06,59.833,-110.452,171.285,1.88696e-06,51.2365,-113.734,173.226,1.88704e-06,38.2867,-114.079,174.427,1.93297e-06,95.6973,-113.299,175.212,1.90053e-06,60.3686,-97.2905,178.502,1.90151e-06,60.0591,-94.6742,183.269,1.94602e-06,102.217,-113.823,184.527,1.89816e-06,60.0068,-97.2906,184.81,2.63934e-06,144.555,-133.889,184.906,1.94295e-06,43.608,-111.477,185.135,1.95201e-06,105.753,-114.078,186.533,2.40713e-06,64.4035,-34.6797,192.213,2.46582e-06,64.2895,-28.7476,193.715,2.72412e-06,138.599,-133.554,194.79,2.64115e-06,144.004,-133.889
955.55,503.74,735.0,10.0,152.0,15.849,25.0,1.0,112.525,1.86068e-06,65.93,-114.07,125.946,1.86308e-06,66.2128,-114.074,130.671,1.86331e-06,65.4948,-114.057,143.528,1.86334e-06,65.681,-114.063,144.681,1.86451e-06,61.4943,-110.835,147.206,1.88832e-06,74.6968,-109.947,153.475,1.8642e-06,61.8547,-113.897,154.596,1.89051e-06,76.8076,-110.835,154.672,1.86632e-06,62.2588,-113.747,156.593,1.8697e-06,68.5698,-114.291,157.166,1.86457e-06,66.1969,-114.085,158.126,1.86691e-06,61.8146,-110.835,161.574,1.97834e-06,70.0656,-54.0866,163.731,1.90099e-06,70.3558,-94.6742,163.944,1.93561e-06,101.723,-113.299,167.588,1.89285e-06,76.9722,-110.835,170.435,2.06482e-06,61.2959,-113.299,170.675,1.86168e-06,61.0698,-113.299,173.873,1.98058e-06,70.2897,-54.0866,176.521,1.93788e-06,101.635,-113.299,176.682,1.90333e-06,70.5871,-94.6742,176.979,1.863e-06,61.4656,-112.117,177.235,1.86457e-06,66.7888,-114.116,179.442,1.88662e-06,62.0395,-112.027,182.135,2.06697e-06,61.575,-113.299
955.55,503.74,720.0,15.0,152.0,15.9196,25.0,1.0,112.552,1.86638e-06,64.2681,-115.732,126.022,1.86878e-06,64.3096,-115.732,132.612,1.87425e-06,56.1603,-112.117,142.753,1.87509e-06,57.6449,-110.835,143.498,1.87597e-06,49.6599,-113.299,144.547,2.62705e-06,35.8058,-141.648,145.985,1.87664e-06,56.2712,-112.117,150.787,1.87545e-06,57.8744,-110.452,153.798,1.89139e-06,59.0632,-98.0537,154.911,1.89253e-06,75.4938,-111.763,156.152,1.87748e-06,57.744,-110.835,156.206,1.94686e-06,77.9326,-98.0537,157.032,1.87836e-06,49.9122,-113.299,159.99,1.91318e-06,92.993,-113.299,162.541,1.91459e-06,42.1623,-110.835,162.731,1.89235e-06,59.0934,-97.2898,163.513,1.89428e-06,75.1664,-111.683,164.176,1.87784e-06,57.9717,-110.452,166.123,1.89477e-06,77.072,-112.117,167.037,1.89375e-06,59.1501,-98.0537,173.031,1.88636e-06,46.3522,-113.747,173.154,1.91552e-06,92.7971,-113.299,174.173,1.89567e-06,59.1746,-94.6742,174.285,1.91634e-06,79.1786,-112.443,174.846,1.91619e-06,75.0129,-111.673
955.55,503.74,725.0,15.0,152.0,15.943,25.0,1.0,112.519,1.8594e-06,64.7457,-115.254,126.039,1.8618e-06,64.8855,-115.256,142.092,1.86539e-06,57.5971,-112.117,143.809,1.86654e-06,58.7006,-110.835,151.96,1.86819e-06,52.7851,-113.299,153.727,1.88312e-06,59.6466,-98.0537,154.394,1.86694e-06,58.8683,-110.452,154.484,1.8931e-06,69.0545,-98.0537,155.566,1.86779e-06,57.7958,-112.117,157.297,1.86894e-06,58.8916,-110.835,161.273,1.90263e-06,42.9721,-110.835,161.408,1.91445e-06,96.1567,-113.299,162.686,1.88408e-06,59.6706,-97.29,163.847,1.89395e-06,68.9834,-97.2898,164.794,1.87468e-06,48.254,-113.783,167.051,1.88549e-06,59.8299,-98.0537,167.643,1.89545e-06,69.1517,-98.0537,167.862,1.86934e-06,59.0582,-110.452,170.132,1.87489e-06,46.7351,-113.896,170.903,1.87398e-06,50.9178,-113.477,174.494,1.87489e-06,46.7365,-113.896,174.591,1.91678e-06,95.9365,-113.299,175.195,1.91329e-06,79.6952,-112.267,175.54,1.87818e-06,28.2223,-114.582,175.993,1.88645e-06,59.8534,-97.2906
955.55,503.74,730.0,15.0,152.0,15.9543,25.0,1.0,112.487,1.85255e-06,65.227,-114.773,119.231,1.85629e-06,55.6934,-113.299,134.795,1.85878e-06,56.2028,-113.299,144.39,1.85825e-06,59.7804,-110.835,148.83,1.85689e-06,59.0812,-112.117,154.1,1.86268e-06,52.734,-114.111,157.48,1.86337e-06,52.2771,-113.696,159.265,1.86073e-06,60.3167,-110.835,160.446,1.87538e-06,60.945,-113.214,162.712,1.91662e-06,99.2832,-113.299,164.311,1.86362e-06,38.3179,-114.099,169.457,1.90965e-06,81.1773,-112.228,169.66,1.86361e-06,50.1455,-113.9,171.73,1.86351e-06,51.3377,-113.795,171.865,1.86e-06,55.8895,-113.959,173.965,1.86116e-06,60.4203,-110.452,175.741,1.91894e-06,99.1165,-113.299,184.717,1.91936e-06,43.5906,-111.474,184.754,2.64355e-06,146.637,-133.889,186.442,2.38523e-06,64.6637,-34.6797,189.523,1.92179e-06,100.061,-114.148,192.1,2.44389e-06,64.539,-28.7476,194.08,1.88176e-06,60.8359,-94.6742,198.457,3.27991e-06,68.0307,-89.5536,199.154,2.27612e-06,68.6678,-34.7678
955.55,503.74,735.0,15.0,152.0,15.9778,25.0,1.0,112.455,1.84582e-06,65.7121,-114.288,125.21,1.85356e-06,65.0669,-114.264,136.768,1.8496e-06,55.0116,-113.765,144.579,1.85023e-06,60.8846,-110.835,144.62,1.85366e-06,61.7802,-114.145,144.999,1.84755e-06,59.0846,-113.299,146.48,1.87252e-06,74.4395,-109.964,147.439,1.8737e-06,75.669,-110.452,148.013,1.85357e-06,65.5315,-114.281,149.55,1.84889e-06,55.1592,-114.05,153.594,1.84955e-06,61.6164,-114.106,153.963,1.87465e-06,76.5244,-110.835,154.619,1.85158e-06,62.0225,-113.966,158.116,1.84874e-06,60.6128,-112.117,158.241,1.86404e-06,62.7967,-113.461,160.169,1.85283e-06,60.7191,-110.835,160.407,1.85372e-06,63.3923,-114.176,160.682,1.85015e-06,58.9211,-113.299,163.903,1.88565e-06,70.1352,-94.6742,163.914,1.91965e-06,102.355,-113.299,164.628,1.85071e-06,56.3929,-113.792,166.683,1.86242e-06,63.1957,-113.663,168.706,1.85068e-06,60.9198,-110.452,177.285,1.92208e-06,102.69,-113.299,180.004,2.31399e-06,69.8501,-88.2923
955.55,503.74,725.0,20.0,152.0,16.0615,25.0,1.0,112.45,1.84469e-06,64.5176,-115.482,113.596,1.8516e-06,55.6833,-112.53,136.421,1.85171e-06,56.6461,-112.117,142.435,1.85305e-06,50.12,-113.299,143.057,1.85267e-06,58.0391,-110.835,148.567,1.85424e-06,57.7063,-112.117,151.945,1.85304e-06,58.2508,-110.452,153.431,1.87789e-06,68.832,-98.0537,153.665,1.86908e-06,59.2993,-98.0537,161.276,1.89825e-06,96.516,-113.299,161.871,1.8714e-06,20.2731,-114.581,162.612,1.87004e-06,59.3274,-97.2902,164.269,1.85556e-06,59.2972,-110.452,165.178,1.86227e-06,47.9132,-113.593,165.906,1.87156e-06,60.3295,-98.0537,166.722,1.88029e-06,68.9322,-98.0537,167.447,1.87545e-06,78.3432,-112.117,169.424,1.8631e-06,34.4611,-113.799,174.761,1.89688e-06,79.5954,-112.298,174.775,1.87252e-06,60.3561,-97.2909,174.891,1.87336e-06,59.4024,-94.6742,177.459,1.89404e-06,42.603,-110.835,181.153,1.87003e-06,59.3274,-97.291,182.912,1.91342e-06,102.424,-113.635,184.529,2.62074e-06,147.078,-133.889
955.55,503.74,730.0,20.0,152.0,16.08,25.0,1.0,112.417,1.83778e-06,65.0021,-114.998,124.693,1.84042e-06,65.944,-115.013,135.683,1.84301e-06,53.3336,-113.299,143.936,1.84422e-06,59.132,-110.835,144.457,2.5907e-06,35.935,-141.513,144.482,1.84298e-06,58.1538,-112.117,148.979,1.84575e-06,54.378,-113.299,153.587,1.86087e-06,59.8939,-98.0537,155.955,1.84464e-06,59.2776,-110.452,156.417,1.8469e-06,60.1644,-110.835,156.79,1.84567e-06,59.1895,-112.117,162.566,1.86184e-06,59.9154,-97.2903,162.641,1.90054e-06,99.8193,-113.299,164.113,1.85113e-06,48.3187,-113.805,165.9,1.86352e-06,60.9184,-98.0537,168.289,1.84732e-06,60.3093,-110.452,169.214,1.89317e-06,81.0767,-112.251,174.798,1.86448e-06,60.9386,-97.2911,176.374,1.85131e-06,46.7856,-113.904,177.403,1.86518e-06,59.972,-94.6742,183.357,1.86184e-06,59.9154,-97.2911,184.614,2.63459e-06,147.901,-133.889,186.35,2.37036e-06,64.4246,-34.6797,189.463,1.9054e-06,100.127,-114.071,192.037,2.42902e-06,64.3075,-28.7476
955.55,503.74,735.0,20.0,152.0,16.0163,25.0,1.0,112.385,1.83106e-06,65.4905,-114.51,131.613,1.83381e-06,56.8397,-113.299,144.359,1.83611e-06,60.2505,-110.835,146.846,1.858e-06,75.3751,-110.452,151.448,1.83981e-06,55.8953,-114.102,151.743,1.83469e-06,59.7125,-112.117,153.495,1.85288e-06,60.4957,-98.0537,153.535,1.83534e-06,54.2661,-114.115,155.714,1.83911e-06,62.1353,-114.419,156.748,1.83997e-06,52.3929,-113.777,158.439,1.86056e-06,76.0744,-110.452,158.795,1.83908e-06,62.8943,-114.378,160.127,1.8527e-06,61.1467,-113.038,161.993,1.83656e-06,60.3267,-110.452,162.52,1.85385e-06,60.5105,-97.2904,162.871,1.84023e-06,38.362,-114.119,163.893,1.90381e-06,103.058,-113.299,167.011,1.83685e-06,56.0701,-113.905,167.166,1.84097e-06,60.8325,-114.07,181.094,1.85721e-06,60.5482,-94.6742,184.696,2.64861e-06,148.688,-133.889,186.349,2.3634e-06,64.9307,-34.6797,186.492,1.85385e-06,60.5105,-97.2913,188.417,1.83964e-06,54.4061,-113.578,191.985,2.42202e-06,64.7948,-28.7476
955.55,503.74,725.0,25.0,152.0,16.1577,25.0,1.0,112.38,1.83003e-06,64.2856,-115.714,125.949,1.8382e-06,55.6445,-112.117,127.733,1.83263e-06,64.2687,-115.714,128.858,1.84078e-06,55.3528,-112.228,141.22,1.84079e-06,55.6179,-112.117,142.028,1.83892e-06,57.3521,-110.835,145.188,1.84081e-06,47.409,-113.299,149.585,1.83926e-06,57.611,-110.452,153.597,1.85511e-06,58.9448,-98.0537,156.951,1.86687e-06,11.4161,-114.58,157.278,1.84151e-06,57.3272,-110.835,160.402,1.84339e-06,47.3752,-113.299,161.147,1.88209e-06,96.9197,-113.299,161.353,1.94408e-06,68.2817,-54.0866,162.538,1.85606e-06,58.9771,-97.2904,164.833,1.84185e-06,57.5864,-110.452,168.407,1.86529e-06,68.5755,-98.0537,168.594,1.85968e-06,78.0757,-112.117,168.684,1.85768e-06,58.9217,-98.0537,172.242,1.85372e-06,34.0191,-113.965,173.596,1.85938e-06,59.0642,-94.6742,174.32,1.88047e-06,79.4935,-112.331,175.745,1.88469e-06,96.2434,-113.299,176.466,1.87976e-06,80.9001,-112.512,177.622,1.85863e-06,58.9541,-97.291
955.55,503.74,730.0,25.0,152.0,16.1479,25.0,1.0,112.347,1.82309e-06,64.7733,-115.227,127.769,1.82568e-06,64.7569,-115.226,139.491,1.82926e-06,57.1754,-112.117,141.129,1.83021e-06,50.6805,-113.299,143.296,1.83034e-06,58.4581,-110.835,153.245,1.83073e-06,58.6494,-110.452,153.527,1.84685e-06,59.5434,-98.0537,154.842,1.83185e-06,57.1504,-112.117,156.452,1.8328e-06,50.6499,-113.299,158.633,1.83293e-06,58.4344,-110.835,162.338,1.93815e-06,68.7819,-54.0866,162.417,1.86865e-06,41.9951,-110.835,162.491,1.84781e-06,59.5691,-97.2905,162.578,1.88454e-06,100.42,-113.299,164.569,1.8387e-06,47.9627,-113.613,168.579,1.83332e-06,58.6258,-110.452,168.696,1.84942e-06,59.5209,-98.0537,169.717,1.83993e-06,34.3832,-113.853,170.28,1.85658e-06,79.8066,-112.117,175.732,1.85114e-06,59.6375,-94.6742,177.377,1.88706e-06,100.446,-113.299,177.657,1.85037e-06,59.5467,-97.2912,178.546,1.84626e-06,13.7831,-113.893,181.885,1.84781e-06,59.5691,-97.2914,184.467,2.62598e-06,149.201,-133.889
